web-scraper-order,web-scraper-start-url,Pages,Pages-href,Definitions
"1588585622-39641","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Плевральная полость - пространство между 2 листками плевры, один из которых прилежит к легким, а другой выстилает изнутри грудную полость."
"1588585622-39578","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Папула  - элемент кожной сыпи. Небольшой плотный, возвышающийся над кожей пузырек, узелок."
"1588585609-39317","https://petroleks.ru/dictionaries/dict_med.php","Х","https://petroleks.ru/dictionaries/dict_med21.php","Хориальный гонадотропин (хориогонадотропин) - гормон, вырабатывающийся эмбрионом"
"1588585616-39410","https://petroleks.ru/dictionaries/dict_med.php","Т","https://petroleks.ru/dictionaries/dict_med18.php","Трансфузия - то же, что переливание крови, ее препаратов и заменителей."
"1588585616-39395","https://petroleks.ru/dictionaries/dict_med.php","Т","https://petroleks.ru/dictionaries/dict_med18.php","Токсины (от греч. ""яд"") - сложные соединения белковой природы бактериального, растительного или животного происхождения, способные при попадании в организм вызывать его заболевание или гибель. Содержатся в ядах змей, пауков, скорпионов, целого ряда растений. Токсины, выделяемые бактериями, вызывают столбняк, ботулизм и др. болезни. Токсины применяют для получения анатоксинов -- препаратов для лечения и профилактики заболеваний."
"1588585627-39764","https://petroleks.ru/dictionaries/dict_med.php","Н","https://petroleks.ru/dictionaries/dict_med13.php","Нозология - учение о болезнях (в т.ч. нозологических формах), их классификации и номенклатуре."
"1588585648-40119","https://petroleks.ru/dictionaries/dict_med.php","В","https://petroleks.ru/dictionaries/dict_med3.php","Вибрионы - бактерии, имеющие форму коротких, изогнутых в виде запятой палочек. Обитают в водоемах, почве, содержимом кишечника. Патогенные виды вызывают заболевания."
"1588585629-39811","https://petroleks.ru/dictionaries/dict_med.php","М","https://petroleks.ru/dictionaries/dict_med12.php","Миопатия - хронические прогрессирующие заболевания мышц, связанные с нарушениями обмена веществ в мышечной ткани. Характерны мышечная слабость и атрофия мышц."
"1588585644-39999","https://petroleks.ru/dictionaries/dict_med.php","Д","https://petroleks.ru/dictionaries/dict_med5.php","Десенсибилизация - уменьшение или исчезновение повышенной чувствительности (сенсибилизации) организма к повторному введению чужеродного для него вещества."
"1588585646-40109","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Грибы, Грибки - группа растений, вызывающие те или иные заболевания, а также используемые для производства антибиотиков. Большинство из них питается разлагающимися органическими веществами растительного или животного происхождения. Некоторые ведут паразитический образ жизни, существуя в организме живых растений, насекомых, птиц, рыб, животных и человека. Наиболее важное значение в патологии человека и практическое промышленное применение имеют три большие группы грибков - плесневые, дрожжевые (и дрожжеподобные) и дерматомицеты, или дерматофиты (паразиты кожи, волос и ногтей). Плесневые грибки интенсивно растут на залежалых кусках хлеба, сыра, на овощах и плодах, на различных растительных остатках, кормах животных, а также на стенах сырых, плохо проветриваемых помещений. Они имеют вид пушисто-бархатистого налета зеленого, желтого, серого или черного цвета со своеобразным земляным запахом. Повышенная влажность и относительно высокая температура воздуха способствуют их размножению: образуется множество спор, которые, попадая в воздух, разносятся на большие расстояния ветром, насекомыми, животными. Наиболее распространены различные виды плесневых грибков рода аспергиллов и рода пенициллов. Живут они в основном в почве, а также на растениях, находятся в воздухе и являются постоянными обитателями кожи и слизистых оболочек животных и человека. Плесневые грибки широко используют в медицинской, микробиологической и пищевой промышленности. Из них были выделены вещества, названные впоследствие антибиотиками (в частности, пенициллин). Некоторые плесневые грибки являются возбудителями болезней -- микозов, в частности, аспергиллеза, отомикоза, микотоксикозов, фузариотоксикоза. Дрожжевые и дрожжеподобные грибки также имеют важное значение в развитии некоторых болезней человека, в частности, кандидозов, криптококкозов. Дерматомицеты (дерматофиты) являются возбудителями грибковых заболеваний кожи - фавуса (парши), микроспории, микоза стоп, трихофотии, эпидермофитии."
"1588585650-40142","https://petroleks.ru/dictionaries/dict_med.php","Б","https://petroleks.ru/dictionaries/dict_med2.php","Бронхи (от греч. дыхательное горло, трахея) - трубчатые воздухоносные ветви трахеи. Стенка бронхов включает хрящевые кольца или пластинки. Все бронхи, разветвляясь до бронхиол, составляют единое бронхиальное дерево, проводящее воздух при вдохе и выдохе."
"1588585640-39974","https://petroleks.ru/dictionaries/dict_med.php","Ж","https://petroleks.ru/dictionaries/dict_med7.php","Желудок  - расширенный отдел пищеварительного канала, следующий за пищеводом. Выполняет функции накопления, механической и химической обработки, эвакуации пищи в кишечник. Железы желудка выделяют желудочный сок. Наиболее частые заболевания - гастрит, язвенная болезнь."
"1588585648-40111","https://petroleks.ru/dictionaries/dict_med.php","В","https://petroleks.ru/dictionaries/dict_med3.php","Вазопрессин - нейрогормон, вырабатываемый в гипоталамусе, поступает в гипофиз, оттуда в кровь. Стимулирует обратное всасывание воды в почечных канальцах и таким образом уменьшает диурез. Вызываете сокращение капилляров кровеносной системы."
"1588585650-40133","https://petroleks.ru/dictionaries/dict_med.php","Б","https://petroleks.ru/dictionaries/dict_med2.php","Бактериемия - присутствие в крови бактерий. Характерна для острого периода многих инфекционных болезней."
"1588585620-39556","https://petroleks.ru/dictionaries/dict_med.php","Р","https://petroleks.ru/dictionaries/dict_med16.php","Реципиент - человек, которому пересаживают орган, ткань или клетки другого организма с лечебной целью (переливание крови, пересадка сердца)."
"1588585627-39738","https://petroleks.ru/dictionaries/dict_med.php","Н","https://petroleks.ru/dictionaries/dict_med13.php","Наследственность - передача родительских признаков потомству (например, склонности к какому-то заболеванию)."
"1588585646-40077","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Гипертензия - повышение гидростатического давления в сосудах, полых органах, полостях организма."
"1588585650-40144","https://petroleks.ru/dictionaries/dict_med.php","Б","https://petroleks.ru/dictionaries/dict_med2.php","Бронхиолы - конечные мельчайшие разветвления бронхов влегочных дольках, не содержащие хряща и переходящие в альвеолярные ходы легких. Брыжейка (мезентерий), - складка брюшины, прикрепляющая внутренние органы к стенкам полости тела."
"1588585616-39385","https://petroleks.ru/dictionaries/dict_med.php","Т","https://petroleks.ru/dictionaries/dict_med18.php","Типический, типичный  - нормальный, обычный, наиболее вероятный."
"1588585599-39250","https://petroleks.ru/dictionaries/dict_med.php","Э","https://petroleks.ru/dictionaries/dict_med26.php","Эпидемия - массовое распространение инфекционного заболевания человека в какой-либо местности, стране, значительно превышающее обычный уровень заболевания."
"1588585650-40134","https://petroleks.ru/dictionaries/dict_med.php","Б","https://petroleks.ru/dictionaries/dict_med2.php","Бактерии  - группа микроскопических, преимущественно одноклеточных организмов. Шаровидные (кокки), палочковидные (бациллы, клостридии, псевдомонады), извитые (виброны, спириллы, спирохеты). Способны расти как в присутствии атмосферного кислорода (аэробы), так и в его отсутствии (анаэробы). Многие бактерии являются возбудителями болезней животных и человека. Существуют бактерии, необходимые для нормального процесса жизнедеятельности (кишечная палочка участвует в переработке питательных веществ в кишечнике, однако при обнаружении ее, например, в моче, эта же бактерия рассматривается как возбудитель инфекции почек и мочевыводящих путей)."
"1588585611-39325","https://petroleks.ru/dictionaries/dict_med.php","Ф","https://petroleks.ru/dictionaries/dict_med20.php","Фаги (бактериофаги) - вирусы (бактерии), способные поражать бактериальную (зараженную) клетку, размножаться в ней и вызывать ее лизис (разрушение). Используются при лечении - фаготерапии инфекционных болезней."
"1588585618-39499","https://petroleks.ru/dictionaries/dict_med.php","С","https://petroleks.ru/dictionaries/dict_med17.php","Сперматозоиды - живое вещество, мужская половая клетка. Содержит одинарный набор хромосом. Сперматозоид имеет головку, шейку и хвост (жгутик), с помощью которого передвигается."
"1588585611-39363","https://petroleks.ru/dictionaries/dict_med.php","Ф","https://petroleks.ru/dictionaries/dict_med20.php","Фонендоскоп - то же, что и Стетоскоп."
"1588585627-39754","https://petroleks.ru/dictionaries/dict_med.php","Н","https://petroleks.ru/dictionaries/dict_med13.php","Нервные болезни - заболевания нервной системы, обусловленные органическими (травма, токсикоз и т.д.) или функциональными (невротическими) расстройствами. Могут быть связаны с генетическими (наследственными) факторами."
"1588585633-39874","https://petroleks.ru/dictionaries/dict_med.php","К","https://petroleks.ru/dictionaries/dict_med10.php","Коллагеновые волокна - волокна внеклеточного вещества соединительной ткани, состоящие главным образом из белка коллагена. Прочны на разрыв и мало эластичны, выполняют механическую функцию."
"1588585644-39990","https://petroleks.ru/dictionaries/dict_med.php","Д","https://petroleks.ru/dictionaries/dict_med5.php","Деменция - слабоумие."
"1588585637-39958","https://petroleks.ru/dictionaries/dict_med.php","З","https://petroleks.ru/dictionaries/dict_med8.php","Заместительная терапия - назначение препаратов, идентичных веществам, вырабатываемым в самом организме, в случае частичной или полной потери функции органа (например, при сахарном диабете, когда поражена поджелудочная железа и вырабатывается мало гормона этой железы - инсулина, назначают инъекции инсулина)."
"1588585627-39765","https://petroleks.ru/dictionaries/dict_med.php","Н","https://petroleks.ru/dictionaries/dict_med13.php","Нозологическая форма - определенное заболевание, выделяемое на основе установленной причины (этиология), особенностей развития (патогенез), типичных внешних проявлений и характерного поражения органов и тканей."
"1588585624-39733","https://petroleks.ru/dictionaries/dict_med.php","О","https://petroleks.ru/dictionaries/dict_med14.php","Офтальмология  - область медицины, изучающая анатомию и физиологию органов зрения, болезни глаза и разрабатывающая методы лечения и профилактики."
"1588585644-40018","https://petroleks.ru/dictionaries/dict_med.php","Д","https://petroleks.ru/dictionaries/dict_med5.php","Диурез - количество мочи, выделенное за определенное время; чаще измеряется суточный диурез."
"1588585644-40021","https://petroleks.ru/dictionaries/dict_med.php","Д","https://petroleks.ru/dictionaries/dict_med5.php","Дренаж  - метод осушения ран (полостей тела), выведения из них жидкого отделяемого (гноя, выпота и т.п.) с помощью трубок, резиновых или марлевых полосок."
"1588585620-39533","https://petroleks.ru/dictionaries/dict_med.php","Р","https://petroleks.ru/dictionaries/dict_med16.php","Резекция - хирургическая операция иссечения, обычно частичная, больного органа (например, желудка, сустава)."
"1588585644-40017","https://petroleks.ru/dictionaries/dict_med.php","Д","https://petroleks.ru/dictionaries/dict_med5.php","Дисхромия  - нарушение нормальной окраски данной ткани (в крови -- гипохромпая анемия, когда количество гемоглобина снижено, и гиперхромная, когда относительное количество гемоглобина выше нормы, по снижено количество эритроцитов)."
"1588585622-39608","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Пепсин (от греч. ""пищеварение"") - пищеварительный фермент, расщепляющий белки. Вырабатывается в желудке в виде неактивного пепсиногена и активируется под действием соляной кислоты."
"1588585633-39868","https://petroleks.ru/dictionaries/dict_med.php","К","https://petroleks.ru/dictionaries/dict_med10.php","Киллеры - особый тип лимфоцитов - большие гранулярные лимфоциты, содержащие различные протеолитические ферменты, которые растворяют мембраны чужеродных клеток, в т.ч. и опухолевых клеток."
"1588585631-39836","https://petroleks.ru/dictionaries/dict_med.php","Л","https://petroleks.ru/dictionaries/dict_med11.php","Лейкопения - уменьшение числа лейкоцитов в крови при некоторых инфекционных и других заболеваниях, а также в результате лучевого поражения, приема лекарственных препаратов или рефлекторных воздействий на костный мозг."
"1588585609-39316","https://petroleks.ru/dictionaries/dict_med.php","Х","https://petroleks.ru/dictionaries/dict_med21.php","Хорион  - наружная зародышевая оболочка."
"1588585637-39957","https://petroleks.ru/dictionaries/dict_med.php","З","https://petroleks.ru/dictionaries/dict_med8.php","Закрытые повреждения — повреждения, не сопровождающиеся нарушением целостности внешних покровов тела."
"1588585635-39914","https://petroleks.ru/dictionaries/dict_med.php","И","https://petroleks.ru/dictionaries/dict_med9.php","Иммунофлюоресцентный метод - один из методов изучения определенных антител и антигенов в сыворотке крови бальных. Основан на том, что некоторые микробы или антигены тканей после соответствующей обработки способны светиться в ультрафиолетовых лучах люминесцентного микроскопа."
"1588585611-39358","https://petroleks.ru/dictionaries/dict_med.php","Ф","https://petroleks.ru/dictionaries/dict_med20.php","Фолликул (от лат. ""мешочек"") - пузырьковидное образование в органах человека. Например, зрелый фолликул яичника содержит яйцеклетку, фолликул щитовидной железы - место окончательного синтеза гормонов."
"1588585618-39530","https://petroleks.ru/dictionaries/dict_med.php","С","https://petroleks.ru/dictionaries/dict_med17.php","Суицид  - самоубийство."
"1588585635-39904","https://petroleks.ru/dictionaries/dict_med.php","И","https://petroleks.ru/dictionaries/dict_med9.php","Имидазол - химическое соединение, входящее в состав многих важных природных соединений, например, гистидина, гистамина, карнозина, пуриновых оснований, витамина B12, а также в молекулы синтетическких лекарственных средств."
"1588585624-39721","https://petroleks.ru/dictionaries/dict_med.php","О","https://petroleks.ru/dictionaries/dict_med14.php","Остеосинтез - операция соединения отломков костей после переломов с помощью специальных фиксирующих средств (гвозди, винты, костные пластинки и тд.)."
"1588585631-39849","https://petroleks.ru/dictionaries/dict_med.php","Л","https://petroleks.ru/dictionaries/dict_med11.php","Лимфатическая система - совокупность сосудов, узлов и лимфоидной ткани. Основная функция - проведение лимфы и защита организма."
"1588585635-39923","https://petroleks.ru/dictionaries/dict_med.php","И","https://petroleks.ru/dictionaries/dict_med9.php","Имплантанты (контрацептивы) - вшиваемые под кожу женщины капсулы с гормоном, постепенно высвобождающимся в кровь."
"1588585622-39582","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Паранойя - общее название психических расстройств, характеризующихся стойким систематизированным бредом (преследования, ревности, изобретательства и др.)."
"1588585620-39549","https://petroleks.ru/dictionaries/dict_med.php","Р","https://petroleks.ru/dictionaries/dict_med16.php","Ретинопатия - поражение сетчатой оболочки (ретины) глаза при кислородном голодании и расстройстве питания сетчатки в связи с сосудистыми и обменными нарушениями (гипертоническая болезнь, сахарный диабет и др.)."
"1588585646-40052","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Генный - часть сложных слов, означающая: происходящий от чего-либо, образующий что-либо (например, канцероген, канцерогенный)."
"1588585650-40139","https://petroleks.ru/dictionaries/dict_med.php","Б","https://petroleks.ru/dictionaries/dict_med2.php","Биопсия - прижизненное иссечение кусочка ткани или органа с диагностической целью."
"1588585618-39508","https://petroleks.ru/dictionaries/dict_med.php","С","https://petroleks.ru/dictionaries/dict_med17.php","Споровики - класс одноклеточных животных типа простейших. Преимущественно внутриклеточные паразиты. Вызывают малярию и др. заболевания."
"1588585646-40033","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Гемоглобин - красный дыхательный пигмент крови. Состоит из белка (глобина) и железосодержащего соединения (гема). Переносит кислород от органов дыхания к тканям и углекислый газ от тканей к дыхательным органам. Многие заболевания крови (анемия) связаны с нарушениями строения гемоглобина, в т.ч. и наследственными."
"1588585629-39809","https://petroleks.ru/dictionaries/dict_med.php","М","https://petroleks.ru/dictionaries/dict_med12.php","Миокардит - группа воспалительных заболеваний сердечной мышцы, преимущественно инфекционно-аллергической природы (например, при ревматизме, скарлатине), острых или хронических. Проявляется одышкой, сердцебиением, аритмией, болями в сердце."
"1588585622-39600","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Патогенетическое лечение - направленное на механизмы развития болезни (например, назначение инсулина при сахарном диабете)."
"1588585646-40072","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Гиперкинез - непроизвольные движения при нарушениях нервной системы."
"1588585637-39953","https://petroleks.ru/dictionaries/dict_med.php","З","https://petroleks.ru/dictionaries/dict_med8.php","Задний проход (син.: заднепроходной канал, анальный канал) — дистальньш отдел прямой кишки, заканчивающийся заднепроходным отверстием."
"1588585627-39761","https://petroleks.ru/dictionaries/dict_med.php","Н","https://petroleks.ru/dictionaries/dict_med13.php","Нервы связывают мозг и нервные узлы с другими органами и тканями тела. Совокупность нервов формирует периферическую нервную систему. У человека от головного мозга отходит 12 пар нервов, от спинного мозга -- 31 пара. Особую группу составляют нервы, берущие начало от узлов, стволов и сплетений вегетативной нервной системы."
"1588585635-39901","https://petroleks.ru/dictionaries/dict_med.php","И","https://petroleks.ru/dictionaries/dict_med9.php","Игольный тест (прик-тест) - кожный тест для выявления источника аллергии."
"1588585635-39920","https://petroleks.ru/dictionaries/dict_med.php","И","https://petroleks.ru/dictionaries/dict_med9.php","Иммунологическая структура населения - степень напряжения специфического иммунитета у членов определенных коллективов или контингентов населения к данной инфекционной (паразитарной) болезни, определяемая с помощью иммунологических тестов."
"1588585648-40117","https://petroleks.ru/dictionaries/dict_med.php","В","https://petroleks.ru/dictionaries/dict_med3.php","Везикула - элемент кожной сыпи, полушаровидный пузырек с прозрачным или мутноватым содержимым."
"1588585629-39814","https://petroleks.ru/dictionaries/dict_med.php","М","https://petroleks.ru/dictionaries/dict_med12.php","Миотические средства - лекарства, вызывающие сужение зрачка (миоз), при этом обычно улучшается отток жидкости из камер глаза, что ведет к снижению внутриглазного давления. Применяют при глаукоме."
"1588585627-39742","https://petroleks.ru/dictionaries/dict_med.php","Н","https://petroleks.ru/dictionaries/dict_med13.php","Нейродермит - нервно-аллергическое заболевание кожи: сильный зуд, уплотнение и подчеркнутый рисунок кожи в очагах поражения, узелковые высыпания, отрубевидное шелушение."
"1588585637-39960","https://petroleks.ru/dictionaries/dict_med.php","З","https://petroleks.ru/dictionaries/dict_med8.php","Затёки — скопление в тканях жидкого содержимого, чаще гноя, на некотором удалении от первичного очага и сообщающегося с ним."
"1588585633-39886","https://petroleks.ru/dictionaries/dict_med.php","К","https://petroleks.ru/dictionaries/dict_med10.php","Костный мозг - содержится во всех полостях костей. В красном костном мозге, заполняющем в течение первых лет жизни все полости костей, образуются форменные элементы крови - эритроциты, лейкоциты, тромбоциты. Желтый костный мозг, замещающий постепенно красный, состоит главным образом из жировых клеток."
"1588585646-40089","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Гипотензивные средства - лекарства, понижающие артериальное давление."
"1588585646-40040","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Гемолиз - разрушение эритроцитов крови с выделением в окружающую среду гемоглобина. В норме гемолиз завершает жизненный цикл эритроцитов (около 12 суток) и происходит в организме непрерывно. Патологический гемолиз происходит под влиянием гемолитических ядов, холода, некоторых лекарственных веществ (у чувствительных кним людей) и др. факторов. Характерен для гемолитических анемий."
"1588585635-39946","https://petroleks.ru/dictionaries/dict_med.php","И","https://petroleks.ru/dictionaries/dict_med9.php","Инфузионная терапия - капельное внутривенное введение больших количеств жидкости (физиологического раствора, кровезаменителей, глюкозы и др.), часто с добавлением лекарственных веществ. Цельвосстановление должного содержания жидкости, химических элементов (кальций, калий, хлор и др.), необходимых для нормальной жизнедеятельности, а также удаление токсических веществ и стимуляция или, наоборот, снижение интенсивности работы органа."
"1588585622-39691","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Психотропные средства - лекарства, оказывающие преимущественное влияние на психические свойства человека: антидепрессанты, нейролептические, психостимулирующие и седативные средства, транквилизаторы."
"1588585650-40135","https://petroleks.ru/dictionaries/dict_med.php","Б","https://petroleks.ru/dictionaries/dict_med2.php","Бальнеотерапия - использование лечебного эффекта природной минеральной воды."
"1588585620-39571","https://petroleks.ru/dictionaries/dict_med.php","Р","https://petroleks.ru/dictionaries/dict_med16.php","Репродуктивная система  - половая система. Система органов, отвечающих за воспроизведение."
"1588585646-40039","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Гемодиализ - метод лечения острой и хронической почечной недостаточности с помощью аппарата ""искусственная почка""."
"1588585631-39840","https://petroleks.ru/dictionaries/dict_med.php","Л","https://petroleks.ru/dictionaries/dict_med11.php","Лигатура - нить для перевязывания кровеносных сосудов (шелковая, льняная и др.)"
"1588585616-39417","https://petroleks.ru/dictionaries/dict_med.php","Т","https://petroleks.ru/dictionaries/dict_med18.php","Трофика  - питание, кровоснабжение какой-либо части тела или органа."
"1588585629-39782","https://petroleks.ru/dictionaries/dict_med.php","М","https://petroleks.ru/dictionaries/dict_med12.php","Меланома  - злокачественная опухоль преимущественно кожи (реже - сетчатки глаза, мозга, слизистых оболочек), развивающаяся из клеток, продуцирующих темные пигменты (меланины), обычно -- из родимых пятен."
"1588585635-39918","https://petroleks.ru/dictionaries/dict_med.php","И","https://petroleks.ru/dictionaries/dict_med9.php","Иммуностимуляторы - лекарственные средства с противоположным действием иммунодепрессантам."
"1588585622-39659","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Почки - парные органы, образующие и выделяющие мочу. Основная структурнофункциональная единица почки - нефрон, в котором происходит фильтрация плазмы крови и образование мочи. Выводят из организма конечные продукты обмена веществ, избыток солей, воды, чужеродные и токсические соединения. Регулируют состав крови и обеспечивают постоянство внутренней среды организма. Воспаление почек - нефрит."
"1588585648-40124","https://petroleks.ru/dictionaries/dict_med.php","В","https://petroleks.ru/dictionaries/dict_med3.php","Витамины - органические вещества, образующиеся в организме с помощью микрофлоры кишечника или поступающие с пищей, Обычно растительной. Необходимы для нормального обмена веществ и жизнедеятеэгеяосяги. Длительное употребление пищи, лишеных витаминов, вызывает заболевания (авитаминоз, гиповитаминоз). Основные витамины: А (ретинол), Д (кальциферолы), Е (токоферолы), К (филлохинон); Н (биотин), РР (никотиновая кислота), С (аскорбиновая кислота), B1 (тиамин), В2 (рибофлавин), В3 (пантотеновая кислота), В6 (пиридоксин), B12 (цианкобаламин), Вс (фолиевая кислота). АД, Е и К являются жирорастворимыми, остальные - водорастворимыми."
"1588585622-39671","https://petroleks.ru/dictionaries/dict_med.php","П","https://petroleks.ru/dictionaries/dict_med15.php","Пролонгированные контрацептивы  - препараты длительного действия. К ним относятся имплантанты и инъекционные препараты."
"1588585646-40065","https://petroleks.ru/dictionaries/dict_med.php","Г","https://petroleks.ru/dictionaries/dict_med4.php","Гидроцефалия  - увеличение количества спинномозговой жидкости в полости черепа из-за чрезмерной продукции или затруднения оттока. Возникает главным образом после внутриутробной, родовой травмы, энцефалита и др. заболеваний мозга. Сопровождается увеличением объема черепа, задержкой развития и пр."
"1588585637-39959","https://petroleks.ru/dictionaries/dict_med.php","З","https://petroleks.ru/dictionaries/dict_med8.php","Запоры — замедленное, затрудненное или систематически недостаточное опорожнение кишечника."
"1588585627-39766","https://petroleks.ru/dictionaries/dict_med.php","Н","https://petroleks.ru/dictionaries/dict_med13.php","Норадреналин - нейрогормон. Образуется в мозговом слое надпочечников и в нервной системе, где служит медиатором (передатчиком) нервного импульса через синапс. Повышает кровяное давление, стимулирует углеводный обмен. Полученный синтетическим путем применяется в медицине, например, при отравлениях."
