,Definitions,Term,TermLemm,KwMult
10,"простата) - непарная железа мужской половой системы. Расположена в малом тазу, между дном мочевого пузыря и прямой кишкой. Секрет ее обеспечивает жизнедеятельность сперматозоидов в семенной жидкости. Воспаление предстательной железы - простатит.",Предстательная железа ,"['предстательн', 'желез']","{'е': 0.0015814060499457674, 'сперматозоид': 0.006447270819009667, 'желез': 0.001432726848668815, 'предстательн': 0.027938173549041892, 'простат': 0.055876347098083784, 'непарн': 0.04190726032356284, 'мужск': 0.005986751474794691, 'полов': 0.0014704301867916785, 'систем': 0.000901231404807803, 'располож': 0.004190726032356284, 'мал': 0.008381452064712568, 'таз': 0.027938173549041892, 'межд': 0.0034922716936302365, 'дном': 0.08381452064712568, 'мочев': 0.006984543387260473, 'пузыр': 0.0044112905603750354, 'прям': 0.005986751474794691, 'кишк': 0.0019955838249315636, 'секрет': 0.011973502949589382, 'обеспечива': 0.003991167649863127, 'жизнедеятельн': 0.006447270819009667, 'семен': 0.016762904129425136, 'жидкост': 0.0022056452801875177, 'воспален': 0.0013740085351987815}"
11," пространство между 2 листками плевры, один из которых прилежит к легким, а другой выстилает изнутри грудную полость.",Плевральная полость ,"['плевральн', 'полост']","{'котор': 0.0008640672231662441, 'грудн': 0.009312724516347298, 'выстила': 0.011973502949589382, 'полост': 0.0016762904129425135, 'межд': 0.0034922716936302365, 'пространств': 0.016762904129425136, '2': 0.0022652573147871804, 'листк': 0.04190726032356284, 'плевр': 0.009312724516347298, 'прилеж': 0.04190726032356284, 'легк': 0.003104241505449099, 'друг': 0.0015239003754022851, 'изнутр': 0.04190726032356284}"
12," элемент кожной сыпи. Небольшой плотный, возвышающийся над кожей пузырек, узелок.",Папула  ,['папул'],"{'элемент': 0.00364410959335329, 'кож': 0.0011973502949589382, 'кожн': 0.005238407540445355, 'сып': 0.009312724516347298, 'небольш': 0.016762904129425136, 'плотн': 0.008381452064712568, 'возвыша': 0.04190726032356284, 'пузырек': 0.027938173549041892, 'узелок': 0.04190726032356284}"
13,"хориогонадотропин) - гормон, вырабатывающийся эмбрионом",Хориальный гонадотропин ,"['хориальн', 'гонадотропин']","{'хориогонадотропин': 0.08381452064712568, 'гормон': 0.0013096018851113387, 'вырабатыва': 0.0019955838249315636, 'эмбрион': 0.04190726032356284}"
14," то же, что переливание крови, ее препаратов и заменителей.",Трансфузия ,['трансфуз'],"{'кров': 0.0005304716496653524, 'препарат': 0.0026192037702226774, 'е': 0.0015814060499457674, 'переливан': 0.02095363016178142, 'заменител': 0.04190726032356284}"
15,"от греч. ""яд"") - сложные соединения белковой природы бактериального, растительного или животного происхождения, способные при попадании в организм вызывать его заболевание или гибель. Содержатся в ядах змей, пауков, скорпионов, целого ряда растений. Токсины, выделяемые бактериями, вызывают столбняк, ботулизм и др. болезни. Токсины применяют для получения анатоксинов -- препаратов для лечения и профилактики заболеваний.",Токсины ,['токсин'],"{'заболеван': 0.0008964119855307559, 'препарат': 0.0026192037702226774, 'др': 0.0006497249662567882, 'ег': 0.0018625449032694595, 'организм': 0.0005018833571684172, 'выделя': 0.002890155884383644, 'лечен': 0.0022056452801875177, 'болезн': 0.0009210386884299525, 'профилактик': 0.006984543387260473, 'токсин': 0.012894541638019334, 'греч': 0.004930265920419157, 'яд': 0.027938173549041892, 'сложн': 0.01047681508089071, 'соединен': 0.00364410959335329, 'белков': 0.006984543387260473, 'природ': 0.005986751474794691, 'бактериальн': 0.02095363016178142, 'растительн': 0.01047681508089071, 'ил': 0.0007869908041983632, 'животн': 0.0029933757373973454, 'происхожден': 0.005986751474794691, 'способн': 0.0029933757373973454, 'попадан': 0.027938173549041892, 'вызыва': 0.0034210008427398237, 'гибел': 0.016762904129425136, 'содержат': 0.013969086774520946, 'зме': 0.08381452064712568, 'паук': 0.08381452064712568, 'скорпион': 0.08381452064712568, 'цел': 0.0034922716936302365, 'ряд': 0.006984543387260473, 'растен': 0.008381452064712568, 'бактер': 0.002890155884383644, 'столбняк': 0.08381452064712568, 'ботулизм': 0.08381452064712568, 'применя': 0.0027036942144234087, 'получен': 0.02095363016178142, 'анатоксин': 0.027938173549041892}"
16," учение о болезнях (в т.ч. нозологических формах), их классификации и номенклатуре.",Нозология ,['нозолог'],"{'т': 0.0015814060499457674, 'болезн': 0.0009210386884299525, 'учен': 0.027938173549041892, 'ч': 0.016762904129425136, 'нозологическ': 0.04190726032356284, 'форм': 0.0038097509385057126, 'классификац': 0.08381452064712568, 'номенклатур': 0.08381452064712568}"
17," бактерии, имеющие форму коротких, изогнутых в виде запятой палочек. Обитают в водоемах, почве, содержимом кишечника. Патогенные виды вызывают заболевания.",Вибрионы ,['вибрион'],"{'заболеван': 0.00044820599276537796, 'вызыва': 0.0017105004213699118, 'бактер': 0.002890155884383644, 'форм': 0.0038097509385057126, 'имеющ': 0.02095363016178142, 'коротк': 0.027938173549041892, 'изогнут': 0.08381452064712568, 'вид': 0.004789401179835753, 'запят': 0.08381452064712568, 'палочек': 0.04190726032356284, 'обита': 0.02095363016178142, 'водоем': 0.027938173549041892, 'почв': 0.013969086774520946, 'содержим': 0.01047681508089071, 'кишечник': 0.004930265920419157, 'патоген': 0.01047681508089071}"
18," хронические прогрессирующие заболевания мышц, связанные с нарушениями обмена веществ в мышечной ткани. Характерны мышечная слабость и атрофия мышц.",Миопатия ,['миопат'],"{'заболеван': 0.00044820599276537796, 'мышц': 0.0034210008427398237, 'ткан': 0.0005986751474794691, 'хроническ': 0.0034922716936302365, 'прогрессир': 0.08381452064712568, 'связа': 0.004656362258173649, 'нарушен': 0.0012894541638019334, 'обм': 0.0017105004213699118, 'веществ': 0.0006705161651770054, 'мышечн': 0.011973502949589382, 'характерн': 0.006447270819009667, 'слабост': 0.02095363016178142, 'атроф': 0.04190726032356284}"
19, уменьшение или исчезновение повышенной чувствительности (сенсибилизации) организма к повторному введению чужеродного для него вещества.,Десенсибилизация ,['десенсибилизац'],"{'организм': 0.0005018833571684172, 'ил': 0.0003934954020991816, 'веществ': 0.0006705161651770054, 'уменьшен': 0.01047681508089071, 'исчезновен': 0.04190726032356284, 'повышен': 0.0029933757373973454, 'чувствительн': 0.004930265920419157, 'сенсибилизац': 0.027938173549041892, 'повторн': 0.04190726032356284, 'введен': 0.0029933757373973454, 'чужеродн': 0.008381452064712568, 'нег': 0.016762904129425136}"
20," Грибки - группа растений, вызывающие те или иные заболевания, а также используемые для производства антибиотиков. Большинство из них питается разлагающимися органическими веществами растительного или животного происхождения. Некоторые ведут паразитический образ жизни, существуя в организме живых растений, насекомых, птиц, рыб, животных и человека. Наиболее важное значение в патологии человека и практическое промышленное применение имеют три большие группы грибков - плесневые, дрожжевые (и дрожжеподобные) и дерматомицеты, или дерматофиты (паразиты кожи, волос и ногтей). Плесневые грибки интенсивно растут на залежалых кусках хлеба, сыра, на овощах и плодах, на различных растительных остатках, кормах животных, а также на стенах сырых, плохо проветриваемых помещений. Они имеют вид пушисто-бархатистого налета зеленого, желтого, серого или черного цвета со своеобразным земляным запахом. Повышенная влажность и относительно высокая температура воздуха способствуют их размножению: образуется множество спор, которые, попадая в воздух, разносятся на большие расстояния ветром, насекомыми, животными. Наиболее распространены различные виды плесневых грибков рода аспергиллов и рода пенициллов. Живут они в основном в почве, а также на растениях, находятся в воздухе и являются постоянными обитателями кожи и слизистых оболочек животных и человека. Плесневые грибки широко используют в медицинской, микробиологической и пищевой промышленности. Из них были выделены вещества, названные впоследствие антибиотиками (в частности, пенициллин). Некоторые плесневые грибки являются возбудителями болезней -- микозов, в частности, аспергиллеза, отомикоза, микотоксикозов, фузариотоксикоза. Дрожжевые и дрожжеподобные грибки также имеют важное значение в развитии некоторых болезней человека, в частности, кандидозов, криптококкозов. Дерматомицеты (дерматофиты) являются возбудителями грибковых заболеваний кожи - фавуса (парши), микроспории, микоза стоп, трихофотии, эпидермофитии.",Грибы,['гриб'],"{'котор': 0.0008640672231662441, 'наход': 0.01047681508089071, 'различн': 0.004656362258173649, 'заболеван': 0.0008964119855307559, 'кож': 0.0035920508848768145, 'образ': 0.0020442566011494067, 'организм': 0.0005018833571684172, 'человек': 0.004470107767846703, 'слизист': 0.0020442566011494067, 'болезн': 0.001842077376859905, 'растительн': 0.02095363016178142, 'ил': 0.0015739816083967263, 'животн': 0.014966878686986727, 'происхожден': 0.005986751474794691, 'вызыва': 0.0017105004213699118, 'растен': 0.025144356194137706, 'вид': 0.004789401179835753, 'почв': 0.013969086774520946, 'веществ': 0.0013410323303540109, 'повышен': 0.0029933757373973454, 'грибк': 0.08381452064712568, 'групп': 0.005780311768767288, 'те': 0.04190726032356284, 'ин': 0.016762904129425136, 'такж': 0.007619501877011425, 'используем': 0.027938173549041892, 'производств': 0.027938173549041892, 'антибиотик': 0.023947005899178763, 'большинств': 0.013969086774520946, 'них': 0.018625449032694596, 'пита': 0.02095363016178142, 'разлага': 0.04190726032356284, 'органическ': 0.005986751474794691, 'некотор': 0.00502887123882754, 'ведут': 0.08381452064712568, 'паразитическ': 0.02095363016178142, 'жизн': 0.005986751474794691, 'существу': 0.08381452064712568, 'жив': 0.003352580825885027, 'насеком': 0.04190726032356284, 'птиц': 0.027938173549041892, 'рыб': 0.027938173549041892, 'наибол': 0.01523900375402285, 'важн': 0.011973502949589382, 'значен': 0.018625449032694596, 'патолог': 0.013969086774520946, 'практическ': 0.08381452064712568, 'промышлен': 0.055876347098083784, 'применен': 0.013969086774520946, 'имеют': 0.025144356194137706, 'больш': 0.008381452064712568, 'плеснев': 0.08381452064712568, 'дрожжев': 0.08381452064712568, 'дрожжеподобн': 0.08381452064712568, 'дерматомицет': 0.08381452064712568, 'дерматофит': 0.08381452064712568, 'паразит': 0.01047681508089071, 'волос': 0.008381452064712568, 'ногт': 0.016762904129425136, 'интенсивн': 0.016762904129425136, 'растут': 0.08381452064712568, 'залежал': 0.08381452064712568, 'куск': 0.08381452064712568, 'хлеб': 0.08381452064712568, 'сыр': 0.055876347098083784, 'овощ': 0.027938173549041892, 'плод': 0.016762904129425136, 'остатк': 0.013969086774520946, 'корм': 0.08381452064712568, 'стен': 0.08381452064712568, 'плох': 0.08381452064712568, 'проветрива': 0.08381452064712568, 'помещен': 0.04190726032356284, 'пушист': 0.08381452064712568, 'бархатист': 0.08381452064712568, 'налет': 0.08381452064712568, 'зелен': 0.08381452064712568, 'желт': 0.013969086774520946, 'сер': 0.04190726032356284, 'черн': 0.04190726032356284, 'цвет': 0.013969086774520946, 'своеобразн': 0.04190726032356284, 'землян': 0.08381452064712568, 'запах': 0.04190726032356284, 'влажност': 0.04190726032356284, 'относительн': 0.009312724516347298, 'высок': 0.007619501877011425, 'температур': 0.0029933757373973454, 'воздух': 0.01796025442438407, 'способств': 0.01047681508089071, 'размножен': 0.011973502949589382, 'множеств': 0.04190726032356284, 'спор': 0.04190726032356284, 'попад': 0.08381452064712568, 'разнос': 0.08381452064712568, 'расстоян': 0.04190726032356284, 'ветр': 0.08381452064712568, 'распростран': 0.027938173549041892, 'род': 0.013969086774520946, 'аспергилл': 0.08381452064712568, 'пеницилл': 0.08381452064712568, 'живут': 0.04190726032356284, 'основн': 0.002095363016178142, 'явля': 0.013233871681125105, 'постоя': 0.007619501877011425, 'обитател': 0.08381452064712568, 'оболочек': 0.01047681508089071, 'широк': 0.008381452064712568, 'использ': 0.004190726032356284, 'медицинск': 0.02095363016178142, 'микробиологическ': 0.04190726032356284, 'пищев': 0.011973502949589382, 'был': 0.08381452064712568, 'выдел': 0.027938173549041892, 'назва': 0.08381452064712568, 'впоследств': 0.027938173549041892, 'частност': 0.05028871238827541, 'пенициллин': 0.08381452064712568, 'возбудител': 0.007982335299726254, 'микоз': 0.027938173549041892, 'аспергиллез': 0.08381452064712568, 'отомикоз': 0.08381452064712568, 'микотоксикоз': 0.08381452064712568, 'фузариотоксикоз': 0.08381452064712568, 'развит': 0.0016118177047524168, 'кандидоз': 0.08381452064712568, 'криптококкоз': 0.08381452064712568, 'грибков': 0.08381452064712568, 'фавус': 0.04190726032356284, 'парш': 0.04190726032356284, 'микроспор': 0.04190726032356284, 'стоп': 0.04190726032356284, 'трихофот': 0.08381452064712568, 'эпидермофит': 0.08381452064712568}"
21,"от греч. дыхательное горло, трахея) - трубчатые воздухоносные ветви трахеи. Стенка бронхов включает хрящевые кольца или пластинки. Все бронхи, разветвляясь до бронхиол, составляют единое бронхиальное дерево, проводящее воздух при вдохе и выдохе.",Бронхи ,['бронх'],"{'стенк': 0.004930265920419157, 'составля': 0.006447270819009667, 'горл': 0.027938173549041892, 'трах': 0.01047681508089071, 'греч': 0.004930265920419157, 'ил': 0.0003934954020991816, 'воздух': 0.005986751474794691, 'бронх': 0.011175269419616756, 'дыхательн': 0.005587634709808378, 'трахе': 0.04190726032356284, 'трубчат': 0.013969086774520946, 'воздухоносн': 0.08381452064712568, 'ветв': 0.04190726032356284, 'включа': 0.007619501877011425, 'хрящев': 0.027938173549041892, 'кольц': 0.08381452064712568, 'пластинк': 0.04190726032356284, 'разветвл': 0.08381452064712568, 'бронхиол': 0.02095363016178142, 'един': 0.013969086774520946, 'бронхиальн': 0.013969086774520946, 'дерев': 0.08381452064712568, 'проводя': 0.02095363016178142, 'вдох': 0.027938173549041892, 'выдох': 0.027938173549041892}"
22," расширенный отдел пищеварительного канала, следующий за пищеводом. Выполняет функции накопления, механической и химической обработки, эвакуации пищи в кишечник. Железы желудка выделяют желудочный сок. Наиболее частые заболевания - гастрит, язвенная болезнь.",Желудок  ,['желудок'],"{'част': 0.0013303892166210425, 'заболеван': 0.00044820599276537796, 'расширен': 0.007619501877011425, 'желез': 0.0007163634243344075, 'выделя': 0.002890155884383644, 'болезн': 0.0009210386884299525, 'кишечник': 0.004930265920419157, 'наибол': 0.007619501877011425, 'отдел': 0.0044112905603750354, 'пищеварительн': 0.006447270819009667, 'кана': 0.007619501877011425, 'след': 0.013969086774520946, 'пищевод': 0.006447270819009667, 'выполня': 0.005587634709808378, 'функц': 0.0016434219734730525, 'накоплен': 0.04190726032356284, 'механическ': 0.011973502949589382, 'химическ': 0.0032236354095048336, 'обработк': 0.02095363016178142, 'эвакуац': 0.08381452064712568, 'пищ': 0.005238407540445355, 'желудк': 0.005986751474794691, 'желудочн': 0.007619501877011425, 'сок': 0.005986751474794691, 'гастр': 0.08381452064712568, 'язвен': 0.08381452064712568}"
23," нейрогормон, вырабатываемый в гипоталамусе, поступает в гипофиз, оттуда в кровь. Стимулирует обратное всасывание воды в почечных канальцах и таким образом уменьшает диурез. Вызываете сокращение капилляров кровеносной системы.",Вазопрессин ,['вазопрессин'],"{'кров': 0.0005304716496653524, 'сокращен': 0.003991167649863127, 'кровеносн': 0.003991167649863127, 'образ': 0.0010221283005747033, 'систем': 0.000901231404807803, 'вырабатыва': 0.0019955838249315636, 'вызыва': 0.0017105004213699118, 'нейрогормон': 0.016762904129425136, 'гипоталамус': 0.011973502949589382, 'поступа': 0.007619501877011425, 'гипофиз': 0.005238407540445355, 'оттуд': 0.04190726032356284, 'стимулир': 0.007619501877011425, 'обратн': 0.027938173549041892, 'всасыван': 0.02095363016178142, 'вод': 0.004930265920419157, 'почечн': 0.011973502949589382, 'канальц': 0.027938173549041892, 'уменьша': 0.04190726032356284, 'диурез': 0.027938173549041892, 'капилляр': 0.008381452064712568}"
24, присутствие в крови бактерий. Характерна для острого периода многих инфекционных болезней.,Бактериемия ,['бактерием'],"{'кров': 0.0005304716496653524, 'болезн': 0.0009210386884299525, 'бактер': 0.002890155884383644, 'характерн': 0.006447270819009667, 'присутств': 0.013969086774520946, 'остр': 0.0025398339590038082, 'период': 0.005986751474794691, 'мног': 0.004930265920419157, 'инфекцион': 0.0016434219734730525}"
25," человек, которому пересаживают орган, ткань или клетки другого организма с лечебной целью (переливание крови, пересадка сердца).",Реципиент ,['реципиент'],"{'кров': 0.0005304716496653524, 'котор': 0.0008640672231662441, 'сердц': 0.0017461358468151182, 'клетк': 0.0010221283005747033, 'ткан': 0.0005986751474794691, 'организм': 0.0005018833571684172, 'человек': 0.0011175269419616757, 'друг': 0.0015239003754022851, 'переливан': 0.02095363016178142, 'ил': 0.0003934954020991816, 'цел': 0.0034922716936302365, 'пересажива': 0.08381452064712568, 'орга': 0.0013740085351987815, 'лечебн': 0.004930265920419157, 'пересадк': 0.027938173549041892}"
26," передача родительских признаков потомству (например, склонности к какому-то заболеванию).",Наследственность ,['наследствен'],"{'заболеван': 0.00044820599276537796, 'передач': 0.011973502949589382, 'родительск': 0.08381452064712568, 'признак': 0.0034922716936302365, 'потомств': 0.04190726032356284, 'например': 0.0008640672231662441, 'склонност': 0.04190726032356284}"
27," повышение гидростатического давления в сосудах, полых органах, полостях организма.",Гипертензия ,['гипертенз'],"{'сосуд': 0.0017461358468151182, 'орган': 0.0008916438366715498, 'полост': 0.0016762904129425135, 'организм': 0.0005018833571684172, 'повышен': 0.0029933757373973454, 'гидростатическ': 0.027938173549041892, 'давлен': 0.003991167649863127, 'пол': 0.005587634709808378}"
28," конечные мельчайшие разветвления бронхов влегочных дольках, не содержащие хряща и переходящие в альвеолярные ходы легких. Брыжейка (мезентерий), - складка брюшины, прикрепляющая внутренние органы к стенкам полости тела.",Бронхиолы ,['бронхиол'],"{'стенк': 0.004930265920419157, 'внутрен': 0.0013096018851113387, 'полост': 0.0016762904129425135, 'легк': 0.003104241505449099, 'бронх': 0.005587634709808378, 'орга': 0.0013740085351987815, 'конечн': 0.005587634709808378, 'мельчайш': 0.016762904129425136, 'разветвлен': 0.04190726032356284, 'влегочн': 0.08381452064712568, 'дольк': 0.08381452064712568, 'содержа': 0.0044112905603750354, 'хрящ': 0.011973502949589382, 'переходя': 0.08381452064712568, 'альвеолярн': 0.027938173549041892, 'ход': 0.02095363016178142, 'брыжейк': 0.027938173549041892, 'мезентер': 0.04190726032356284, 'складк': 0.08381452064712568, 'брюшин': 0.027938173549041892, 'прикрепля': 0.02095363016178142, 'тел': 0.0012699169795019041}"
29," типичный  - нормальный, обычный, наиболее вероятный.",Типический,['типическ'],"{'нормальн': 0.004190726032356284, 'наибол': 0.007619501877011425, 'типичн': 0.027938173549041892, 'обычн': 0.0034922716936302365, 'вероятн': 0.08381452064712568}"
30," массовое распространение инфекционного заболевания человека в какой-либо местности, стране, значительно превышающее обычный уровень заболевания.",Эпидемия ,['эпидем'],"{'заболеван': 0.0008964119855307559, 'человек': 0.0011175269419616757, 'инфекцион': 0.0016434219734730525, 'обычн': 0.0034922716936302365, 'массов': 0.08381452064712568, 'распространен': 0.009312724516347298, 'либ': 0.002890155884383644, 'местност': 0.027938173549041892, 'стран': 0.08381452064712568, 'значительн': 0.02095363016178142, 'превыша': 0.013969086774520946, 'уровен': 0.013969086774520946}"
