,Targ,KwMult,KwNorm
10,"Предстательная железа (простата) - непарная железа мужской половой системы. Расположена в малом тазу, между дном мочевого пузыря и прямой кишкой. Секрет ее обеспечивает жизнедеятельность сперматозоидов в семенной жидкости. Воспаление предстательной железы - простатит.","{'е': 0.0018320336229077686, 'сперматозоид': 0.006482580511827489, 'желез': 0.0007202867235363877, 'предстательн': 0.02809118221791912, 'простат': 0.02809118221791912, 'непарн': 0.04213677332687868, 'мужск': 0.006019539046696954, 'полов': 0.001478483274627322, 'систем': 0.0007661231513977942, 'располага': 0.0024786337251105107, 'мал': 0.008427354665375735, 'таз': 0.02809118221791912, 'межд': 0.00351139777723989, 'дно': 0.01685470933075147, 'мочев': 0.00702279555447978, 'пузыр': 0.004435449823881966, 'прям': 0.006019539046696954, 'кишк': 0.0019598499221804037, 'секрет': 0.012039078093393909, 'обеспечива': 0.003830615756988971, 'жизнедеятельн': 0.006482580511827489, 'семен': 0.02106838666343934, 'жидкост': 0.002217724911940983, 'воспален': 0.0013815335517009403}","{'е': 0.007587976690515797, 'сперматозоид': 0.02684976367413282, 'желез': 0.002983307074903647, 'предстательн': 0.11634897592124223, 'простат': 0.11634897592124223, 'непарн': 0.17452346388186335, 'мужск': 0.024931923411694763, 'полов': 0.006123630311644327, 'систем': 0.0031731538887611517, 'располага': 0.010266086110697844, 'мал': 0.03490469277637266, 'таз': 0.11634897592124223, 'межд': 0.014543621990155279, 'дно': 0.06980938555274532, 'мочев': 0.029087243980310557, 'пузыр': 0.018370890934932983, 'прям': 0.024931923411694763, 'кишк': 0.008117370413109923, 'секрет': 0.04986384682338953, 'обеспечива': 0.015865769443805758, 'жизнедеятельн': 0.02684976367413282, 'семен': 0.08726173194093167, 'жидкост': 0.009185445467466491, 'воспален': 0.005722080783011912}"
11,"Плевральная полость - пространство между 2 листками плевры, один из которых прилежит к легким, а другой выстилает изнутри грудную полость.","{'котор': 0.0008687994500387356, 'грудн': 0.00936372740597304, 'выстила': 0.012039078093393909, 'полост': 0.0016854709330751472, 'межд': 0.00351139777723989, 'плевральн': 0.04213677332687868, 'пространств': 0.01685470933075147, '2': 0.0022776634230745234, 'листок': 0.01685470933075147, 'плевр': 0.00936372740597304, 'прилежа': 0.04213677332687868, 'легк': 0.00312124246865768, 'друг': 0.0015322463027955884, 'изнутр': 0.04213677332687868}","{'котор': 0.004261262873405918, 'грудн': 0.04592694430226379, 'выстила': 0.05904892838862487, 'полост': 0.008266849974407482, 'межд': 0.01722260411334892, 'плевральн': 0.20667124936018705, 'пространств': 0.08266849974407481, '2': 0.011171418884334436, 'листок': 0.08266849974407481, 'плевр': 0.04592694430226379, 'прилежа': 0.20667124936018705, 'легк': 0.01530898143408793, 'друг': 0.007515318158552256, 'изнутр': 0.20667124936018705}"
12,"Папула  - элемент кожной сыпи. Небольшой плотный, возвышающийся над кожей пузырек, узелок.","{'элемент': 0.003664067245815537, 'кож': 0.0012039078093393908, 'папул': 0.04213677332687868, 'кожн': 0.005267096665859835, 'сып': 0.00936372740597304, 'небольш': 0.01685470933075147, 'плотн': 0.008427354665375735, 'возвыша': 0.04213677332687868, 'пузырек': 0.02809118221791912, 'узелок': 0.01685470933075147}","{'элемент': 0.02105782126756385, 'кож': 0.006918998416485265, 'папул': 0.2421649445769843, 'кожн': 0.030270618072123036, 'сып': 0.05381443212821873, 'небольш': 0.0968659778307937, 'плотн': 0.04843298891539685, 'возвыша': 0.2421649445769843, 'пузырек': 0.16144329638465618, 'узелок': 0.0968659778307937}"
13,"Хориальный гонадотропин (хориогонадотропин) - гормон, вырабатывающийся эмбрионом","{'хориальн': 0.08427354665375736, 'гонадотропин': 0.08427354665375736, 'хориогонадотропин': 0.08427354665375736, 'гормон': 0.0013167741664649587, 'вырабатыва': 0.0020065130155656513, 'эмбрион': 0.04213677332687868}","{'хориальн': 0.2825310069371452, 'гонадотропин': 0.2825310069371452, 'хориогонадотропин': 0.2825310069371452, 'гормон': 0.004414546983392894, 'вырабатыва': 0.006726928736598695, 'эмбрион': 0.1412655034685726}"
14,"Трансфузия - то же, что переливание крови, ее препаратов и заменителей.","{'кров': 0.0005333768775554263, 'препарат': 0.0026335483329299175, 'е': 0.0018320336229077686, 'трансфуз': 0.08427354665375736, 'переливан': 0.02106838666343934, 'заменител': 0.04213677332687868}","{'препарат': 0.017332328560663152, 'е': 0.012057272042200452, 'трансфуз': 0.5546345139412209, 'переливан': 0.13865862848530522, 'заменител': 0.27731725697061044}"
15,"Токсины (от греч. ""яд"") - сложные соединения белковой природы бактериального, растительного или животного происхождения, способные при попадании в организм вызывать его заболевание или гибель. Содержатся в ядах змей, пауков, скорпионов, целого ряда растений. Токсины, выделяемые бактериями, вызывают столбняк, ботулизм и др. болезни. Токсины применяют для получения анатоксинов -- препаратов для лечения и профилактики заболеваний.","{'заболеван': 0.0004506606772928201, 'препарат': 0.0026335483329299175, 'вызыва': 0.0014529921836854717, 'др': 0.0006532833073934679, 'ег': 0.002160860170609163, 'организм': 0.0005046320158907626, 'выделя': 0.0025537438379926473, 'лечен': 0.002217724911940983, 'болезн': 0.0009260829302610698, 'профилактик': 0.00702279555447978, 'токсин': 0.006482580511827489, 'греч': 0.0049572674502210215, 'яд': 0.01404559110895956, 'сложн': 0.01053419333171967, 'соединен': 0.004435449823881966, 'белков': 0.00702279555447978, 'природ': 0.006019539046696954, 'бактериальн': 0.02106838666343934, 'растительн': 0.01053419333171967, 'ил': 0.0003956504537735087, 'животн': 0.003009769523348477, 'происхожден': 0.006019539046696954, 'способн': 0.0029059843673709435, 'попадан': 0.02809118221791912, 'гибел': 0.01685470933075147, 'содержа': 0.0020065130155656513, 'зме': 0.08427354665375736, 'паук': 0.08427354665375736, 'скорпион': 0.08427354665375736, 'цел': 0.00351139777723989, 'ряд': 0.00702279555447978, 'растен': 0.008427354665375735, 'бактер': 0.0029059843673709435, 'столбняк': 0.08427354665375736, 'ботулизм': 0.08427354665375736, 'применя': 0.002718501504959915, 'получен': 0.02809118221791912, 'анатоксин': 0.02809118221791912}","{'препарат': 0.003959677789633955, 'вызыва': 0.002184649814970458, 'ег': 0.003248966391494528, 'выделя': 0.003839687553584442, 'лечен': 0.0033344655070601734, 'болезн': 0.001392414167783369, 'профилактик': 0.010559140772357214, 'токсин': 0.009746899174483584, 'греч': 0.007453511133428623, 'яд': 0.02111828154471443, 'сложн': 0.01583871115853582, 'соединен': 0.006668931014120347, 'белков': 0.010559140772357214, 'природ': 0.0090506920905919, 'бактериальн': 0.03167742231707164, 'растительн': 0.01583871115853582, 'животн': 0.00452534604529595, 'происхожден': 0.0090506920905919, 'способн': 0.004369299629940916, 'попадан': 0.04223656308942886, 'гибел': 0.025341937853657313, 'содержа': 0.003016897363530633, 'зме': 0.12670968926828657, 'паук': 0.12670968926828657, 'скорпион': 0.12670968926828657, 'цел': 0.005279570386178607, 'ряд': 0.010559140772357214, 'растен': 0.012670968926828657, 'бактер': 0.004369299629940916, 'столбняк': 0.12670968926828657, 'ботулизм': 0.12670968926828657, 'применя': 0.004087409331235051, 'получен': 0.04223656308942886, 'анатоксин': 0.04223656308942886}"
16,"Нозология - учение о болезнях (в т.ч. нозологических формах), их классификации и номенклатуре.","{'их': 0.001478483274627322, 'т': 0.0015900669179954219, 'болезн': 0.0009260829302610698, 'нозолог': 0.08427354665375736, 'учен': 0.02809118221791912, 'ч': 0.01685470933075147, 'нозологическ': 0.04213677332687868, 'форм': 0.003830615756988971, 'классификац': 0.08427354665375736, 'номенклатур': 0.08427354665375736}","{'их': 0.004251831662440614, 'т': 0.00457272461809651, 'болезн': 0.0026632352171331317, 'нозолог': 0.24235440475911502, 'учен': 0.08078480158637168, 'ч': 0.048470880951822996, 'нозологическ': 0.12117720237955751, 'форм': 0.011016109307232501, 'классификац': 0.24235440475911502, 'номенклатур': 0.24235440475911502}"
17,"Вибрионы - бактерии, имеющие форму коротких, изогнутых в виде запятой палочек. Обитают в водоемах, почве, содержимом кишечника. Патогенные виды вызывают заболевания.","{'заболеван': 0.0004506606772928201, 'вызыва': 0.0014529921836854717, 'имет': 0.00312124246865768, 'бактер': 0.0029059843673709435, 'форм': 0.003830615756988971, 'вибрион': 0.08427354665375736, 'коротк': 0.02809118221791912, 'изогнут': 0.08427354665375736, 'вид': 0.0024078156186787816, 'запят': 0.08427354665375736, 'палочк': 0.02106838666343934, 'обита': 0.02106838666343934, 'водо': 0.02809118221791912, 'почв': 0.01404559110895956, 'содержим': 0.01053419333171967, 'кишечник': 0.0049572674502210215, 'патоген': 0.01053419333171967}","{'вызыва': 0.003588258108361252, 'имет': 0.007708110010553801, 'бактер': 0.007176516216722504, 'форм': 0.009459953194770573, 'вибрион': 0.2081189702849526, 'коротк': 0.0693729900949842, 'изогнут': 0.2081189702849526, 'вид': 0.005946256293855788, 'запят': 0.2081189702849526, 'палочк': 0.05202974257123815, 'обита': 0.05202974257123815, 'водо': 0.0693729900949842, 'почв': 0.0346864950474921, 'содержим': 0.026014871285619075, 'кишечник': 0.012242292369703095, 'патоген': 0.026014871285619075}"
18,"Миопатия - хронические прогрессирующие заболевания мышц, связанные с нарушениями обмена веществ в мышечной ткани. Характерны мышечная слабость и атрофия мышц.","{'заболеван': 0.0004506606772928201, 'мышц': 0.0017198682990562726, 'ткан': 0.0006019539046696954, 'миопат': 0.08427354665375736, 'хроническ': 0.00351139777723989, 'прогрессирова': 0.08427354665375736, 'связыва': 0.005618236443583824, 'нарушен': 0.0012965161023654978, 'обм': 0.001652422483407007, 'веществ': 0.0006741883732300589, 'мышечн': 0.006019539046696954, 'характерн': 0.006019539046696954, 'слабост': 0.02106838666343934, 'атроф': 0.04213677332687868}","{'мышц': 0.006676772460277359, 'миопат': 0.3271618505535906, 'хроническ': 0.013631743773066274, 'прогрессирова': 0.3271618505535906, 'связыва': 0.02181079003690604, 'нарушен': 0.0050332592392860085, 'обм': 0.006414938246148836, 'мышечн': 0.023368703610970758, 'характерн': 0.023368703610970758, 'слабост': 0.08179046263839765, 'атроф': 0.1635809252767953}"
19,Десенсибилизация - уменьшение или исчезновение повышенной чувствительности (сенсибилизации) организма к повторному введению чужеродного для него вещества.,"{'организм': 0.0005046320158907626, 'ил': 0.0003956504537735087, 'веществ': 0.0006741883732300589, 'десенсибилизац': 0.08427354665375736, 'уменьшен': 0.01053419333171967, 'исчезновен': 0.04213677332687868, 'повышен': 0.00312124246865768, 'чувствительн': 0.0049572674502210215, 'сенсибилизац': 0.02809118221791912, 'повторн': 0.04213677332687868, 'введен': 0.00312124246865768, 'чужеродн': 0.008427354665375735}","{'десенсибилизац': 0.37157717917063, 'уменьшен': 0.04644714739632875, 'исчезновен': 0.185788589585315, 'повышен': 0.013762117747060371, 'чувствительн': 0.02185748112768412, 'сенсибилизац': 0.12385905972354333, 'повторн': 0.185788589585315, 'введен': 0.013762117747060371, 'чужеродн': 0.037157717917062995}"
