,Targ,KwMult
10,"Предстательная железа (простата) - непарная железа мужской половой системы. Расположена в малом тазу, между дном мочевого пузыря и прямой кишкой. Секрет ее обеспечивает жизнедеятельность сперматозоидов в семенной жидкости. Воспаление предстательной железы - простатит.","{'систем': 0.036512542410464165, 'жизнедеятельн': 0.10953762723139249}"
11,"Плевральная полость - пространство между 2 листками плевры, один из которых прилежит к легким, а другой выстилает изнутри грудную полость.","{'котор': 0.018256271205232082, '2': 0.018256271205232082, 'друг': 0.054768813615696244}"
12,"Папула  - элемент кожной сыпи. Небольшой плотный, возвышающийся над кожей пузырек, узелок.",{}
13,"Хориальный гонадотропин (хориогонадотропин) - гормон, вырабатывающийся эмбрионом",{}
14,"Трансфузия - то же, что переливание крови, ее препаратов и заменителей.",{'препарат': 0.054768813615696244}
15,"Токсины (от греч. ""яд"") - сложные соединения белковой природы бактериального, растительного или животного происхождения, способные при попадании в организм вызывать его заболевание или гибель. Содержатся в ядах змей, пауков, скорпионов, целого ряда растений. Токсины, выделяемые бактериями, вызывают столбняк, ботулизм и др. болезни. Токсины применяют для получения анатоксинов -- препаратов для лечения и профилактики заболеваний.","{'лечен': 0.012170847470154721, 'цел': 0.054768813615696244, 'ил': 0.007302508482092833, 'др': 0.027384406807848122, 'греч': 0.027384406807848122, 'животн': 0.10953762723139249, 'препарат': 0.054768813615696244, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'способн': 0.10953762723139249, 'профилактик': 0.054768813615696244, 'ег': 0.10953762723139249, 'организм': 0.054768813615696244}"
16,"Нозология - учение о болезнях (в т.ч. нозологических формах), их классификации и номенклатуре.","{'их': 0.10953762723139249, 'болезн': 0.054768813615696244}"
17,"Вибрионы - бактерии, имеющие форму коротких, изогнутых в виде запятой палочек. Обитают в водоемах, почве, содержимом кишечника. Патогенные виды вызывают заболевания.","{'заболеван': 0.018256271205232082, 'вид': 0.10953762723139249, 'имет': 0.027384406807848122}"
18,"Миопатия - хронические прогрессирующие заболевания мышц, связанные с нарушениями обмена веществ в мышечной ткани. Характерны мышечная слабость и атрофия мышц.","{'связыва': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'нарушен': 0.054768813615696244}"
19,Десенсибилизация - уменьшение или исчезновение повышенной чувствительности (сенсибилизации) организма к повторному введению чужеродного для него вещества.,"{'ил': 0.007302508482092833, 'организм': 0.054768813615696244}"
20,"Грибы, Грибки - группа растений, вызывающие те или иные заболевания, а также используемые для производства антибиотиков. Большинство из них питается разлагающимися органическими веществами растительного или животного происхождения. Некоторые ведут паразитический образ жизни, существуя в организме живых растений, насекомых, птиц, рыб, животных и человека. Наиболее важное значение в патологии человека и практическое промышленное применение имеют три большие группы грибков - плесневые, дрожжевые (и дрожжеподобные) и дерматомицеты, или дерматофиты (паразиты кожи, волос и ногтей). Плесневые грибки интенсивно растут на залежалых кусках хлеба, сыра, на овощах и плодах, на различных растительных остатках, кормах животных, а также на стенах сырых, плохо проветриваемых помещений. Они имеют вид пушисто-бархатистого налета зеленого, желтого, серого или черного цвета со своеобразным земляным запахом. Повышенная влажность и относительно высокая температура воздуха способствуют их размножению: образуется множество спор, которые, попадая в воздух, разносятся на большие расстояния ветром, насекомыми, животными. Наиболее распространены различные виды плесневых грибков рода аспергиллов и рода пенициллов. Живут они в основном в почве, а также на растениях, находятся в воздухе и являются постоянными обитателями кожи и слизистых оболочек животных и человека. Плесневые грибки широко используют в медицинской, микробиологической и пищевой промышленности. Из них были выделены вещества, названные впоследствие антибиотиками (в частности, пенициллин). Некоторые плесневые грибки являются возбудителями болезней -- микозов, в частности, аспергиллеза, отомикоза, микотоксикозов, фузариотоксикоза. Дрожжевые и дрожжеподобные грибки также имеют важное значение в развитии некоторых болезней человека, в частности, кандидозов, криптококкозов. Дерматомицеты (дерматофиты) являются возбудителями грибковых заболеваний кожи - фавуса (парши), микроспории, микоза стоп, трихофотии, эпидермофитии.","{'явля': 0.013692203403924061, 'медицинск': 0.0036512542410464164, 'такж': 0.021907525446278497, 'образ': 0.10953762723139249, 'жизн': 0.054768813615696244, 'ил': 0.007302508482092833, 'род': 0.027384406807848122, 'высок': 0.013692203403924061, 'впоследств': 0.10953762723139249, 'быт': 0.054768813615696244, 'котор': 0.018256271205232082, 'животн': 0.10953762723139249, 'их': 0.10953762723139249, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'попада': 0.10953762723139249, 'цвет': 0.10953762723139249, 'основн': 0.10953762723139249, 'черн': 0.10953762723139249, 'птиц': 0.10953762723139249, 'вид': 0.10953762723139249, 'частност': 0.10953762723139249, 'патолог': 0.054768813615696244, 'плод': 0.10953762723139249, 'имет': 0.027384406807848122, 'производств': 0.10953762723139249, 'человек': 0.027384406807848122, 'важн': 0.10953762723139249, 'организм': 0.054768813615696244, 'использова': 0.054768813615696244, 'называ': 0.10953762723139249, 'некотор': 0.10953762723139249}"
21,"Бронхи (от греч. дыхательное горло, трахея) - трубчатые воздухоносные ветви трахеи. Стенка бронхов включает хрящевые кольца или пластинки. Все бронхи, разветвляясь до бронхиол, составляют единое бронхиальное дерево, проводящее воздух при вдохе и выдохе.","{'ил': 0.007302508482092833, 'греч': 0.027384406807848122, 'провод': 0.10953762723139249}"
22,"Желудок  - расширенный отдел пищеварительного канала, следующий за пищеводом. Выполняет функции накопления, механической и химической обработки, эвакуации пищи в кишечник. Железы желудка выделяют желудочный сок. Наиболее частые заболевания - гастрит, язвенная болезнь.","{'част': 0.036512542410464165, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'функц': 0.054768813615696244, 'выполня': 0.10953762723139249}"
23,"Вазопрессин - нейрогормон, вырабатываемый в гипоталамусе, поступает в гипофиз, оттуда в кровь. Стимулирует обратное всасывание воды в почечных канальцах и таким образом уменьшает диурез. Вызываете сокращение капилляров кровеносной системы.","{'образ': 0.10953762723139249, 'сокращен': 0.10953762723139249, 'систем': 0.036512542410464165}"
24,Бактериемия - присутствие в крови бактерий. Характерна для острого периода многих инфекционных болезней.,"{'болезн': 0.054768813615696244, 'период': 0.10953762723139249, 'мног': 0.054768813615696244}"
25,"Реципиент - человек, которому пересаживают орган, ткань или клетки другого организма с лечебной целью (переливание крови, пересадка сердца).","{'цел': 0.054768813615696244, 'ил': 0.007302508482092833, 'котор': 0.018256271205232082, 'друг': 0.054768813615696244, 'человек': 0.027384406807848122, 'организм': 0.054768813615696244, 'лечебн': 0.036512542410464165, 'орга': 0.10953762723139249}"
26,"Наследственность - передача родительских признаков потомству (например, склонности к какому-то заболеванию).","{'заболеван': 0.018256271205232082, 'например': 0.054768813615696244}"
27,"Гипертензия - повышение гидростатического давления в сосудах, полых органах, полостях организма.","{'организм': 0.054768813615696244, 'орга': 0.10953762723139249}"
28,"Бронхиолы - конечные мельчайшие разветвления бронхов влегочных дольках, не содержащие хряща и переходящие в альвеолярные ходы легких. Брыжейка (мезентерий), - складка брюшины, прикрепляющая внутренние органы к стенкам полости тела.","{'внутрен': 0.10953762723139249, 'тел': 0.054768813615696244, 'орга': 0.10953762723139249}"
29,"Типический, типичный  - нормальный, обычный, наиболее вероятный.",{'нормальн': 0.10953762723139249}
30,"Эпидемия - массовое распространение инфекционного заболевания человека в какой-либо местности, стране, значительно превышающее обычный уровень заболевания.","{'либ': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'эпидем': 0.036512542410464165, 'человек': 0.027384406807848122, 'стран': 0.036512542410464165}"
31,"Бактерии  - группа микроскопических, преимущественно одноклеточных организмов. Шаровидные (кокки), палочковидные (бациллы, клостридии, псевдомонады), извитые (виброны, спириллы, спирохеты). Способны расти как в присутствии атмосферного кислорода (аэробы), так и в его отсутствии (анаэробы). Многие бактерии являются возбудителями болезней животных и человека. Существуют бактерии, необходимые для нормального процесса жизнедеятельности (кишечная палочка участвует в переработке питательных веществ в кишечнике, однако при обнаружении ее, например, в моче, эта же бактерия рассматривается как возбудитель инфекции почек и мочевыводящих путей).","{'явля': 0.013692203403924061, 'необходим': 0.054768813615696244, 'преимуществен': 0.054768813615696244, 'животн': 0.10953762723139249, 'болезн': 0.054768813615696244, 'процесс': 0.036512542410464165, 'способн': 0.10953762723139249, 'однак': 0.10953762723139249, 'ег': 0.10953762723139249, 'моч': 0.054768813615696244, 'человек': 0.027384406807848122, 'организм': 0.054768813615696244, 'например': 0.054768813615696244, 'мног': 0.054768813615696244, 'нормальн': 0.10953762723139249, 'жизнедеятельн': 0.10953762723139249}"
32,"Фаги (бактериофаги) - вирусы (бактерии), способные поражать бактериальную (зараженную) клетку, размножаться в ней и вызывать ее лизис (разрушение). Используются при лечении - фаготерапии инфекционных болезней.","{'лечен': 0.012170847470154721, 'болезн': 0.054768813615696244, 'способн': 0.10953762723139249, 'использова': 0.054768813615696244}"
33,"Сперматозоиды - живое вещество, мужская половая клетка. Содержит одинарный набор хромосом. Сперматозоид имеет головку, шейку и хвост (жгутик), с помощью которого передвигается.","{'помощ': 0.018256271205232082, 'котор': 0.018256271205232082, 'имет': 0.027384406807848122}"
34,"Фонендоскоп - то же, что и Стетоскоп.",{}
35,"Нервные болезни - заболевания нервной системы, обусловленные органическими (травма, токсикоз и т.д.) или функциональными (невротическими) расстройствами. Могут быть связаны с генетическими (наследственными) факторами.","{'связыва': 0.054768813615696244, 'ил': 0.007302508482092833, 'быт': 0.054768813615696244, 'расстройств': 0.10953762723139249, 'болезн': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'травм': 0.036512542410464165, 'моч': 0.054768813615696244, 'систем': 0.036512542410464165, 'нервн': 0.036512542410464165}"
36,"Коллагеновые волокна - волокна внеклеточного вещества соединительной ткани, состоящие главным образом из белка коллагена. Прочны на разрыв и мало эластичны, выполняют механическую функцию.","{'образ': 0.10953762723139249, 'главн': 0.10953762723139249, 'состоя': 0.10953762723139249, 'функц': 0.054768813615696244, 'волокн': 0.10953762723139249, 'выполня': 0.10953762723139249}"
37,Деменция - слабоумие.,{}
38,"Заместительная терапия - назначение препаратов, идентичных веществам, вырабатываемым в самом организме, в случае частичной или полной потери функции органа (например, при сахарном диабете, когда поражена поджелудочная железа и вырабатывается мало гормона этой железы - инсулина, назначают инъекции инсулина).","{'ил': 0.007302508482092833, 'препарат': 0.054768813615696244, 'случа': 0.036512542410464165, 'функц': 0.054768813615696244, 'организм': 0.054768813615696244, 'например': 0.054768813615696244, 'орга': 0.10953762723139249}"
39,"Нозологическая форма - определенное заболевание, выделяемое на основе установленной причины (этиология), особенностей развития (патогенез), типичных внешних проявлений и характерного поражения органов и тканей.","{'определен': 0.036512542410464165, 'заболеван': 0.018256271205232082, 'особен': 0.036512542410464165, 'внешн': 0.10953762723139249, 'орга': 0.10953762723139249, 'причин': 0.10953762723139249}"
40,"Офтальмология  - область медицины, изучающая анатомию и физиологию органов зрения, болезни глаза и разрабатывающая методы лечения и профилактики.","{'област': 0.012170847470154721, 'лечен': 0.012170847470154721, 'анатом': 0.10953762723139249, 'медицин': 0.036512542410464165, 'изуча': 0.10953762723139249, 'болезн': 0.054768813615696244, 'метод': 0.10953762723139249, 'профилактик': 0.054768813615696244, 'орга': 0.10953762723139249}"
41,"Диурез - количество мочи, выделенное за определенное время; чаще измеряется суточный диурез.","{'определен': 0.036512542410464165, 'врем': 0.027384406807848122, 'част': 0.036512542410464165, 'моч': 0.054768813615696244}"
42,"Дренаж  - метод осушения ран (полостей тела), выведения из них жидкого отделяемого (гноя, выпота и т.п.) с помощью трубок, резиновых или марлевых полосок.","{'ил': 0.007302508482092833, 'помощ': 0.018256271205232082, 'метод': 0.10953762723139249, 'тел': 0.054768813615696244, 'ран': 0.10953762723139249}"
43,"Резекция - хирургическая операция иссечения, обычно частичная, больного органа (например, желудка, сустава).","{'хирургическ': 0.10953762723139249, 'больн': 0.027384406807848122, 'например': 0.054768813615696244, 'орга': 0.10953762723139249}"
44,"Дисхромия  - нарушение нормальной окраски данной ткани (в крови -- гипохромпая анемия, когда количество гемоглобина снижено, и гиперхромная, когда относительное количество гемоглобина выше нормы, по снижено количество эритроцитов).","{'высок': 0.013692203403924061, 'нарушен': 0.054768813615696244, 'дан': 0.10953762723139249, 'нормальн': 0.10953762723139249}"
45,"Пепсин (от греч. ""пищеварение"") - пищеварительный фермент, расщепляющий белки. Вырабатывается в желудке в виде неактивного пепсиногена и активируется под действием соляной кислоты.","{'греч': 0.027384406807848122, 'действ': 0.054768813615696244, 'вид': 0.10953762723139249}"
46,"Киллеры - особый тип лимфоцитов - большие гранулярные лимфоциты, содержащие различные протеолитические ферменты, которые растворяют мембраны чужеродных клеток, в т.ч. и опухолевых клеток.","{'особ': 0.036512542410464165, 'котор': 0.018256271205232082}"
47,"Лейкопения - уменьшение числа лейкоцитов в крови при некоторых инфекционных и других заболеваниях, а также в результате лучевого поражения, приема лекарственных препаратов или рефлекторных воздействий на костный мозг.","{'такж': 0.021907525446278497, 'результат': 0.10953762723139249, 'ил': 0.007302508482092833, 'препарат': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'мозг': 0.027384406807848122, 'друг': 0.054768813615696244, 'лекарствен': 0.10953762723139249, 'некотор': 0.10953762723139249}"
48,Хорион  - наружная зародышевая оболочка.,{}
49,"Закрытые повреждения — повреждения, не сопровождающиеся нарушением целостности внешних покровов тела.","{'нарушен': 0.054768813615696244, 'тел': 0.054768813615696244, 'внешн': 0.10953762723139249, 'сопровожда': 0.10953762723139249}"
50,"Иммунофлюоресцентный метод - один из методов изучения определенных антител и антигенов в сыворотке крови бальных. Основан на том, что некоторые микробы или антигены тканей после соответствующей обработки способны светиться в ультрафиолетовых лучах люминесцентного микроскопа.","{'соответств': 0.021907525446278497, 'определен': 0.036512542410464165, 'ил': 0.007302508482092833, 'метод': 0.10953762723139249, 'способн': 0.10953762723139249, 'некотор': 0.10953762723139249}"
51,"Фолликул (от лат. ""мешочек"") - пузырьковидное образование в органах человека. Например, зрелый фолликул яичника содержит яйцеклетку, фолликул щитовидной железы - место окончательного синтеза гормонов.","{'образован': 0.006443389837140734, 'лат': 0.027384406807848122, 'человек': 0.027384406807848122, 'например': 0.054768813615696244, 'орга': 0.10953762723139249}"
52,Суицид  - самоубийство.,{}
53,"Имидазол - химическое соединение, входящее в состав многих важных природных соединений, например, гистидина, гистамина, карнозина, пуриновых оснований, витамина B12, а также в молекулы синтетическких лекарственных средств.","{'такж': 0.021907525446278497, 'вход': 0.036512542410464165, 'соста': 0.054768813615696244, 'лекарствен': 0.10953762723139249, 'важн': 0.10953762723139249, 'например': 0.054768813615696244, 'мног': 0.054768813615696244}"
54,"Остеосинтез - операция соединения отломков костей после переломов с помощью специальных фиксирующих средств (гвозди, винты, костные пластинки и тд.).","{'помощ': 0.018256271205232082, 'специальн': 0.010953762723139249}"
55,"Лимфатическая система - совокупность сосудов, узлов и лимфоидной ткани. Основная функция - проведение лимфы и защита организма.","{'основн': 0.10953762723139249, 'функц': 0.054768813615696244, 'организм': 0.054768813615696244, 'систем': 0.036512542410464165, 'проведен': 0.10953762723139249}"
56,"Имплантанты (контрацептивы) - вшиваемые под кожу женщины капсулы с гормоном, постепенно высвобождающимся в кровь.",{}
57,"Паранойя - общее название психических расстройств, характеризующихся стойким систематизированным бредом (преследования, ревности, изобретательства и др.).","{'др': 0.027384406807848122, 'назван': 0.054768813615696244, 'психическ': 0.054768813615696244, 'расстройств': 0.10953762723139249, 'общ': 0.018256271205232082}"
58,"Ретинопатия - поражение сетчатой оболочки (ретины) глаза при кислородном голодании и расстройстве питания сетчатки в связи с сосудистыми и обменными нарушениями (гипертоническая болезнь, сахарный диабет и др.).","{'питан': 0.054768813615696244, 'др': 0.027384406807848122, 'расстройств': 0.10953762723139249, 'болезн': 0.054768813615696244, 'нарушен': 0.054768813615696244}"
59,"Генный - часть сложных слов, означающая: происходящий от чего-либо, образующий что-либо (например, канцероген, канцерогенный).","{'либ': 0.054768813615696244, 'част': 0.036512542410464165, 'слов': 0.10953762723139249, 'происход': 0.10953762723139249, 'например': 0.054768813615696244}"
60,Биопсия - прижизненное иссечение кусочка ткани или органа с диагностической целью.,"{'цел': 0.054768813615696244, 'ил': 0.007302508482092833, 'орга': 0.10953762723139249}"
61,Споровики - класс одноклеточных животных типа простейших. Преимущественно внутриклеточные паразиты. Вызывают малярию и др. заболевания.,"{'др': 0.027384406807848122, 'преимуществен': 0.054768813615696244, 'животн': 0.10953762723139249, 'заболеван': 0.018256271205232082}"
62,"Гемоглобин - красный дыхательный пигмент крови. Состоит из белка (глобина) и железосодержащего соединения (гема). Переносит кислород от органов дыхания к тканям и углекислый газ от тканей к дыхательным органам. Многие заболевания крови (анемия) связаны с нарушениями строения гемоглобина, в т.ч. и наследственными.","{'связыва': 0.054768813615696244, 'состоя': 0.10953762723139249, 'заболеван': 0.018256271205232082, 'нарушен': 0.054768813615696244, 'мног': 0.054768813615696244, 'орга': 0.10953762723139249}"
63,"Миокардит - группа воспалительных заболеваний сердечной мышцы, преимущественно инфекционно-аллергической природы (например, при ревматизме, скарлатине), острых или хронических. Проявляется одышкой, сердцебиением, аритмией, болями в сердце.","{'ил': 0.007302508482092833, 'преимуществен': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'воспалительн': 0.10953762723139249, 'например': 0.054768813615696244}"
64,"Патогенетическое лечение - направленное на механизмы развития болезни (например, назначение инсулина при сахарном диабете).","{'лечен': 0.012170847470154721, 'болезн': 0.054768813615696244, 'направля': 0.10953762723139249, 'например': 0.054768813615696244}"
65,Гиперкинез - непроизвольные движения при нарушениях нервной системы.,"{'нарушен': 0.054768813615696244, 'систем': 0.036512542410464165, 'нервн': 0.036512542410464165}"
66,"Задний проход (син.: заднепроходной канал, анальный канал) — дистальньш отдел прямой кишки, заканчивающийся заднепроходным отверстием.","{'заканчива': 0.10953762723139249, 'проход': 0.036512542410464165}"
67,"Нервы связывают мозг и нервные узлы с другими органами и тканями тела. Совокупность нервов формирует периферическую нервную систему. У человека от головного мозга отходит 12 пар нервов, от спинного мозга -- 31 пара. Особую группу составляют нервы, берущие начало от узлов, стволов и сплетений вегетативной нервной системы.","{'связыва': 0.054768813615696244, 'особ': 0.036512542410464165, 'головн': 0.027384406807848122, 'мозг': 0.027384406807848122, 'тел': 0.054768813615696244, 'друг': 0.054768813615696244, 'человек': 0.027384406807848122, 'пар': 0.10953762723139249, 'систем': 0.036512542410464165, 'нервн': 0.036512542410464165, 'спин': 0.054768813615696244, 'периферическ': 0.10953762723139249, 'орга': 0.10953762723139249}"
68,Игольный тест (прик-тест) - кожный тест для выявления источника аллергии.,{}
69,"Иммунологическая структура населения - степень напряжения специфического иммунитета у членов определенных коллективов или контингентов населения к данной инфекционной (паразитарной) болезни, определяемая с помощью иммунологических тестов.","{'определен': 0.036512542410464165, 'ил': 0.007302508482092833, 'помощ': 0.018256271205232082, 'болезн': 0.054768813615696244, 'специфическ': 0.10953762723139249, 'дан': 0.10953762723139249}"
70,"Везикула - элемент кожной сыпи, полушаровидный пузырек с прозрачным или мутноватым содержимым.",{'ил': 0.007302508482092833}
71,"Миотические средства - лекарства, вызывающие сужение зрачка (миоз), при этом обычно улучшается отток жидкости из камер глаза, что ведет к снижению внутриглазного давления. Применяют при глаукоме.","{'эт': 0.036512542410464165, 'лекарств': 0.10953762723139249}"
72,"Нейродермит - нервно-аллергическое заболевание кожи: сильный зуд, уплотнение и подчеркнутый рисунок кожи в очагах поражения, узелковые высыпания, отрубевидное шелушение.","{'заболеван': 0.018256271205232082, 'нервн': 0.036512542410464165}"
73,"Затёки — скопление в тканях жидкого содержимого, чаще гноя, на некотором удалении от первичного очага и сообщающегося с ним.","{'част': 0.036512542410464165, 'первичн': 0.10953762723139249, 'некотор': 0.10953762723139249}"
74,"Костный мозг - содержится во всех полостях костей. В красном костном мозге, заполняющем в течение первых лет жизни все полости костей, образуются форменные элементы крови - эритроциты, лейкоциты, тромбоциты. Желтый костный мозг, замещающий постепенно красный, состоит главным образом из жировых клеток.","{'образ': 0.10953762723139249, 'жизн': 0.054768813615696244, 'главн': 0.10953762723139249, 'состоя': 0.10953762723139249, 'мозг': 0.027384406807848122, 'течен': 0.10953762723139249, 'год': 0.036512542410464165}"
75,"Гипотензивные средства - лекарства, понижающие артериальное давление.",{'лекарств': 0.10953762723139249}
76,"Гемолиз - разрушение эритроцитов крови с выделением в окружающую среду гемоглобина. В норме гемолиз завершает жизненный цикл эритроцитов (около 12 суток) и происходит в организме непрерывно. Патологический гемолиз происходит под влиянием гемолитических ядов, холода, некоторых лекарственных веществ (у чувствительных кним людей) и др. факторов. Характерен для гемолитических анемий.","{'др': 0.027384406807848122, 'влиян': 0.10953762723139249, 'лекарствен': 0.10953762723139249, 'человек': 0.027384406807848122, 'жизнен': 0.10953762723139249, 'организм': 0.054768813615696244, 'происход': 0.10953762723139249, 'некотор': 0.10953762723139249}"
77,"Инфузионная терапия - капельное внутривенное введение больших количеств жидкости (физиологического раствора, кровезаменителей, глюкозы и др.), часто с добавлением лекарственных веществ. Цельвосстановление должного содержания жидкости, химических элементов (кальций, калий, хлор и др.), необходимых для нормальной жизнедеятельности, а также удаление токсических веществ и стимуляция или, наоборот, снижение интенсивности работы органа.","{'такж': 0.021907525446278497, 'ил': 0.007302508482092833, 'работ': 0.036512542410464165, 'необходим': 0.054768813615696244, 'др': 0.027384406807848122, 'част': 0.036512542410464165, 'лекарствен': 0.10953762723139249, 'нормальн': 0.10953762723139249, 'жизнедеятельн': 0.10953762723139249, 'орга': 0.10953762723139249}"
78,"Психотропные средства - лекарства, оказывающие преимущественное влияние на психические свойства человека: антидепрессанты, нейролептические, психостимулирующие и седативные средства, транквилизаторы.","{'оказыва': 0.054768813615696244, 'преимуществен': 0.054768813615696244, 'психическ': 0.054768813615696244, 'влиян': 0.10953762723139249, 'человек': 0.027384406807848122, 'лекарств': 0.10953762723139249}"
79,Бальнеотерапия - использование лечебного эффекта природной минеральной воды.,{'лечебн': 0.036512542410464165}
80,"Репродуктивная система  - половая система. Система органов, отвечающих за воспроизведение.","{'систем': 0.036512542410464165, 'орга': 0.10953762723139249}"
81,"Гемодиализ - метод лечения острой и хронической почечной недостаточности с помощью аппарата ""искусственная почка"".","{'лечен': 0.012170847470154721, 'помощ': 0.018256271205232082, 'метод': 0.10953762723139249, 'аппарат': 0.10953762723139249}"
82,"Лигатура - нить для перевязывания кровеносных сосудов (шелковая, льняная и др.)",{'др': 0.027384406807848122}
83,"Трофика  - питание, кровоснабжение какой-либо части тела или органа.","{'питан': 0.054768813615696244, 'либ': 0.054768813615696244, 'ил': 0.007302508482092833, 'част': 0.036512542410464165, 'тел': 0.054768813615696244, 'орга': 0.10953762723139249}"
84,"Меланома  - злокачественная опухоль преимущественно кожи (реже - сетчатки глаза, мозга, слизистых оболочек), развивающаяся из клеток, продуцирующих темные пигменты (меланины), обычно -- из родимых пятен.","{'преимуществен': 0.054768813615696244, 'мозг': 0.027384406807848122, 'опухол': 0.10953762723139249}"
85,Иммуностимуляторы - лекарственные средства с противоположным действием иммунодепрессантам.,"{'действ': 0.054768813615696244, 'лекарствен': 0.10953762723139249}"
86,"Почки - парные органы, образующие и выделяющие мочу. Основная структурнофункциональная единица почки - нефрон, в котором происходит фильтрация плазмы крови и образование мочи. Выводят из организма конечные продукты обмена веществ, избыток солей, воды, чужеродные и токсические соединения. Регулируют состав крови и обеспечивают постоянство внутренней среды организма. Воспаление почек - нефрит.","{'образован': 0.006443389837140734, 'котор': 0.018256271205232082, 'внутрен': 0.10953762723139249, 'основн': 0.10953762723139249, 'соста': 0.054768813615696244, 'моч': 0.054768813615696244, 'организм': 0.054768813615696244, 'происход': 0.10953762723139249, 'орга': 0.10953762723139249}"
87,"Витамины - органические вещества, образующиеся в организме с помощью микрофлоры кишечника или поступающие с пищей, Обычно растительной. Необходимы для нормального обмена веществ и жизнедеятеэгеяосяги. Длительное употребление пищи, лишеных витаминов, вызывает заболевания (авитаминоз, гиповитаминоз). Основные витамины: А (ретинол), Д (кальциферолы), Е (токоферолы), К (филлохинон); Н (биотин), РР (никотиновая кислота), С (аскорбиновая кислота), B1 (тиамин), В2 (рибофлавин), В3 (пантотеновая кислота), В6 (пиридоксин), B12 (цианкобаламин), Вс (фолиевая кислота). АД, Е и К являются жирорастворимыми, остальные - водорастворимыми.","{'явля': 0.013692203403924061, 'ил': 0.007302508482092833, 'помощ': 0.018256271205232082, 'необходим': 0.054768813615696244, 'заболеван': 0.018256271205232082, 'основн': 0.10953762723139249, 'организм': 0.054768813615696244, 'нормальн': 0.10953762723139249}"
88,Пролонгированные контрацептивы  - препараты длительного действия. К ним относятся имплантанты и инъекционные препараты.,"{'препарат': 0.054768813615696244, 'действ': 0.054768813615696244, 'относ': 0.10953762723139249}"
