web-scraper-order,web-scraper-start-url,ProfLinks,ProfLinks-href,DescriptionText
"1588589780-40168","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Зубной техник","https://ru.wikipedia.org/wiki/%D0%97%D1%83%D0%B1%D0%BD%D0%BE%D0%B9_%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA","Зубной техник — одна из профессий в современной стоматологии, входит в понятие дантист. Зубных техников часто путают с зубными врачами или стоматологами. Однако в отличие от стоматологов или зубных врачей, зубной техник не встречается с пациентами. Иногда в исключительных случаях такая встреча бывает необходима. Чаще всего пациенты стоматологических клиник попадают в зуботехническую лабораторию для коррекции цвета зубных протезов, для замены матриц аттачменов в бюгельных протезах или для починки съёмного протеза."
"1588589738-40148","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Чумной доктор","https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%BC%D0%BD%D0%BE%D0%B9_%D0%B4%D0%BE%D0%BA%D1%82%D0%BE%D1%80","Чумно́й до́ктор, или врачева́тель чумы́ (англ. plague doctor, нем. Pestarzt, итал. physici epidemeie) — устоявшееся в средневековой и ренессансной Европе определение врача, основной обязанностью которого являлось лечение больных бубонной чумой, или «чёрной смертью», в особенности во время эпидемий. Начиная с XVII века отличительной особенностью чумных докторов стал особый защитный костюм с оригинальной «носатой» маской, напоминающей клюв птицы. Из-за специфического внешнего вида, а также придаваемого им мистического ореола чумные доктора оказали заметное влияние на европейскую культуру, выразившееся, в частности, в появлении соответствующего персонажа в итальянской «Комедия дель арте» и знаменитой венецианской маски, напоминающей маску доктора."
"1588589805-40180","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Акушер-гинеколог","https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%83%D1%88%D0%B5%D1%80-%D0%B3%D0%B8%D0%BD%D0%B5%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3","Акуше́р-гинеко́лог — врач специалист, получивший специальную подготовку по вопросам акушерства и гинекологии, профилактики и лечения гинекологической патологии, медицинского наблюдения за течением беременности, оказания врачебной помощи в процессе родов и в послеродовом периоде[1]. В двух словах, врач, контролирующий процесс вынашивания и рождения ребёнка и несущий ответственность за здоровье плода и его мамы."
"1588589755-40156","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Санинструктор","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80","Санита́рный инстру́ктор (сокращённо санинстру́ктор; ВУС – 878659А, состав категории учёта (должность) – сержанты) — лицо младшего медицинского состава военно-медицинской службы, прошедшее специальную военно-медицинскую подготовку (в учебном подразделении), и ответственное за медицинское обеспечение роты или батареи."
"1588589790-40173","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Врач общей практики","https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B0%D1%87_%D0%BE%D0%B1%D1%89%D0%B5%D0%B9_%D0%BF%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B8","Врач общей практики — специалист в области общей медицины. В России врачом общей практики может быть только специалист с высшим медицинским образованием. Разновидностью врача общей практики является семейный врач. Задачей врача общей практики является оказание первичной врачебной помощи[1][2]."
"1588589745-40151","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Фельдшер","https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%BB%D1%8C%D0%B4%D1%88%D0%B5%D1%80","Фе́льдшер (нем. Feldscher[1]) — специалист со средним специальным медицинским образованием, который имеет право проводить диагностику и устанавливать диагноз, проводить самостоятельное лечение или направлять пациента к врачу-специалисту. Нестроевой средний медицинский чин в Русской Императорской Армии[2]."
"1588589778-40167","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Лейб-медик","https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B9%D0%B1-%D0%BC%D0%B5%D0%B4%D0%B8%D0%BA","'Лейб-медик (от нем. Leib — тело) — придворные звания и должности медицинского толка: различают лейб-хирургов, лейб-акушеров, лейб-отиатров, лейб-педиатров, лейб-окулистов и других."
"1588589761-40159","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Провизор","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%B2%D0%B8%D0%B7%D0%BE%D1%80","Прови́зор (лат. pro - ""пред"" visor - ""вижу"", предвидящий, заготавливающий) — специалист с высшим фармацевтическим образованием, работающий в сфере производства, хранения и продажи лекарственных препаратов."
"1588589751-40154","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Сиделка","https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%B4%D0%B5%D0%BB%D0%BA%D0%B0","Сиделка — профессия, предполагающая уход за больным человеком, инвалидом, престарелым, утратившим возможность к самообслуживанию. Не требует медицинского образования."
"1588589793-40174","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Врач анестезиолог-реаниматолог","https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B0%D1%87_%D0%B0%D0%BD%D0%B5%D1%81%D1%82%D0%B5%D0%B7%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3-%D1%80%D0%B5%D0%B0%D0%BD%D0%B8%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3","Врач анестезио́лог-реанимато́лог — специалист с высшим медицинским образованием (врач), занимающийся поддержанием и восстановлением жизненно важных функций организма при угрожающих жизни состояниях."
"1588589763-40160","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Парамедик","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D0%BC%D0%B5%D0%B4%D0%B8%D0%BA","Параме́дик (англ. paramedic) — специалист с медицинским образованием, работающий в службе скорой медицинской помощи, аварийно-спасательных и военных подразделениях и обладающий навыками оказания экстренной медицинской помощи на догоспитальном этапе. Термин используется преимущественно в странах с англо-американской моделью экстренной помощи[1]. В зависимости от страны или ее региона, срок обучения лиц, которых называют парамедиками может отличаться и колеблется от нескольких месяцев до 4 лет[1][2]."
"1588589736-40147","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Эндокринолог","https://ru.wikipedia.org/wiki/%D0%AD%D0%BD%D0%B4%D0%BE%D0%BA%D1%80%D0%B8%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3","Эндокрино́лог —  врач, получивший специализацию по вопросам диагностики, профилактики и лечения патологии эндокринной системы в интернатуре, ординатуре или на кафедре института последипломного образования врачей."
"1588589747-40152","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Судебный медик","https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B5%D0%B4%D0%B8%D0%BA","Судебный медик — квалифицированный эксперт в области судебной медицины, в чьи обязанности входит расследование случаев смертей и травм, происходящих при необычных или подозрительных обстоятельствах, выполнение посмертной экспертизы. В некоторых государствах имеет право инициировать дознание.[1]"
"1588589801-40178","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Аптекарь","https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D1%82%D0%B5%D0%BA%D0%B0%D1%80%D1%8C","Апте́карь (нем. Apotheker) — специалист в области лекарств, современное название — фармацевт."
"1588589768-40162","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Невролог","https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B2%D1%80%D0%BE%D0%BB%D0%BE%D0%B3","Невро́лог (до 1980-х гг. — невропато́лог[1]) — врач, получивший высшее медицинское образование и прошедший специализацию по специальности неврология. Невролог занимается диагностикой и лечением болезней, связанных с нервной системой. Это заболевания центральной (головной и спинной мозг) и периферической нервной системы (нервные волокна). Например: опухоли головного и спинного мозга, невриты, невралгии, инсульты и другие нарушения кровообращения головного мозга, энцефалиты, приступы эпилепсии. Многие из этих заболеваний сопровождаются изменением поведения и психического функционирования, тогда к лечению таких пациентов привлекаются психиатры и иногда психотерапевты."
"1588589786-40171","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Врачебная практика","https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B0%D1%87%D0%B5%D0%B1%D0%BD%D0%B0%D1%8F_%D0%BF%D1%80%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0","Врачебная практика (общая врачебная практика) — действия врача по проведению лечебных мероприятий и процедур."
"1588589797-40176","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Военный врач","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B2%D1%80%D0%B0%D1%87","Военный врач (также военврач) — военнослужащий с высшим медицинским образованием, занимающий врачебную должность."
"1588589770-40163","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Мортус","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D1%82%D1%83%D1%81","Мо́ртус (от лат. mortuus) — служитель при больных карантинными заболеваниями, особенно чумой[1]. В обязанности мортуса входила и уборка трупов[2]. Появились в Западной Европе в Средние века, одевались они обыкновенно в холщовые или кожаные костюмы, пропитанные дёгтем. Во время чумных эпидемий по улицам разъезжали целые отряды мортусов, поднимая валяющиеся на улицах трупы крюками и укладывая их на особые повозки. В России мортусы действовали во время эпидемий — чумных 1771 и 1817 годов и холерной 1830 года[3]."
"1588589753-40155","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Санитар","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80","Санита́р (в женском роде санита́рка[1]) — младший медицинский работник (лицо низшего медицинского персонала[2]), выполняющий вспомогательные функции в медицинской практике, ранее человек ухаживающий за больными и ранеными на войне[3]."
"1588589774-40165","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Медицинская сестра","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D0%B5%D1%81%D1%82%D1%80%D0%B0","Медици́нская сестра́ (медсестра́)[1] — специалист со средним специальным медицинским образованием в области сестринского дела. Медицинская сестра относится к среднему медицинскому персоналу, является младшим специалистом (это указано в дипломе медсестры) по отношению к специалисту — врачу."
"1588589749-40153","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Судебно-медицинский эксперт","https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%B5%D0%B1%D0%BD%D0%BE-%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82","Суде́бно-медици́нский экспе́рт — врач, занимающий штатную должность в учреждениях судебно-медицинской экспертизы, прошедший обучение по специальности судебно-медицинская экспертиза и имеющий сертификат специалиста в данной области."
"1588589795-40175","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Врач","https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B0%D1%87","Врач — человек, использующий свои навыки, знания и опыт в предупреждении и лечении заболеваний, поддержании нормальной жизнедеятельности организма человека. Во многих странах мира требуется разрешение местных органов власти на деятельность врача, либо соответствующая квалификация, незаконная же деятельность влечёт наказание. В России например, незаконная врачебная деятельность является уголовно наказуемым деянием, в случае если таковая стала причиной существенного вреда.[1] Врач — доктор, медик, также  лицо, получившее высшее медицинское образование по соответствующей специальности (кроме зубных врачей, имеющих средне-специальное медицинское образование (не путайте со стоматологами))[2][3][4][5]."
"1588589788-40172","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Врач-ординатор","https://ru.wikipedia.org/wiki/%D0%92%D1%80%D0%B0%D1%87-%D0%BE%D1%80%D0%B4%D0%B8%D0%BD%D0%B0%D1%82%D0%BE%D1%80","Ордина́тор (от лат. Ordinator — приводящий в порядок, распорядитель), врач, занимающий должность в лечебно-профилактическом учреждении, заведующий палатами или отделением и занимающийся лечебной и профилактической работой."
"1588589772-40164","https://ru.wikipedia.org/wiki/Категория:Медицинские_профессии","Медицинский персонал","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%BB","Медици́нский персона́л — медицинские работники, служащие в медико-санитарных учреждениях[1]."
