,Definitions,Term,TermLemm,KwMult,KwNorm
10,"простата) - непарная железа мужской половой системы. Расположена в малом тазу, между дном мочевого пузыря и прямой кишкой. Секрет ее обеспечивает жизнедеятельность сперматозоидов в семенной жидкости. Воспаление предстательной железы - простатит.",Предстательная железа ,"['предстательн', 'желез']","{'е': 0.0018320336229077686, 'сперматозоид': 0.006482580511827489, 'желез': 0.0014405734470727754, 'предстательн': 0.02809118221791912, 'простат': 0.05618236443583824, 'непарн': 0.04213677332687868, 'мужск': 0.006019539046696954, 'полов': 0.001478483274627322, 'систем': 0.0007661231513977942, 'мал': 0.008427354665375735, 'таз': 0.02809118221791912, 'межд': 0.00351139777723989, 'мочев': 0.00702279555447978, 'пузыр': 0.004435449823881966, 'прям': 0.006019539046696954, 'кишк': 0.0019598499221804037, 'секрет': 0.012039078093393909, 'обеспечива': 0.003830615756988971, 'жизнедеятельн': 0.006482580511827489, 'семен': 0.02106838666343934, 'жидкост': 0.002217724911940983, 'воспален': 0.0013815335517009403}","{'е': 0.007301349009957675, 'сперматозоид': 0.025835542650619468, 'желез': 0.005741231700137659, 'предстательн': 0.11195401815268435, 'простат': 0.2239080363053687, 'непарн': 0.16793102722902653, 'мужск': 0.023990146747003793, 'полов': 0.0058923167448781235, 'систем': 0.003053291404164119, 'мал': 0.0335862054458053, 'таз': 0.11195401815268435, 'межд': 0.013994252269085544, 'мочев': 0.02798850453817109, 'пузыр': 0.01767695023463437, 'прям': 0.023990146747003793, 'кишк': 0.007810745452512862, 'секрет': 0.047980293494007585, 'обеспечива': 0.015266457020820594, 'жизнедеятельн': 0.025835542650619468, 'семен': 0.08396551361451327, 'жидкост': 0.008838475117317186, 'воспален': 0.005505935318984476}"
11," пространство между 2 листками плевры, один из которых прилежит к легким, а другой выстилает изнутри грудную полость.",Плевральная полость ,"['плевральн', 'полост']","{'котор': 0.0008687994500387356, 'грудн': 0.00936372740597304, 'выстила': 0.012039078093393909, 'полост': 0.0016854709330751472, 'межд': 0.00351139777723989, 'пространств': 0.01685470933075147, '2': 0.0022776634230745234, 'плевр': 0.00936372740597304, 'легк': 0.00312124246865768, 'друг': 0.0015322463027955884, 'изнутр': 0.04213677332687868}","{'котор': 0.008455071163106186, 'грудн': 0.09112687809125557, 'выстила': 0.11716312897447144, 'полост': 0.016402838056426002, 'межд': 0.034172579284220836, 'пространств': 0.16402838056426, '2': 0.02216599737354865, 'плевр': 0.09112687809125557, 'легк': 0.03037562603041852, 'друг': 0.014911670960387273, 'изнутр': 0.41007095141065003}"
12," элемент кожной сыпи. Небольшой плотный, возвышающийся над кожей пузырек, узелок.",Папула  ,['папул'],"{'элемент': 0.003664067245815537, 'кож': 0.0012039078093393908, 'кожн': 0.005267096665859835, 'сып': 0.00936372740597304, 'небольш': 0.01685470933075147, 'плотн': 0.008427354665375735, 'возвыша': 0.04213677332687868, 'пузырек': 0.02809118221791912, 'узелок': 0.01685470933075147}","{'элемент': 0.027786813392802995, 'кож': 0.009129952971920985, 'кожн': 0.03994354425215431, 'сып': 0.07101074533716321, 'небольш': 0.1278193416068938, 'плотн': 0.0639096708034469, 'возвыша': 0.31954835401723447, 'пузырек': 0.21303223601148966, 'узелок': 0.1278193416068938}"
13,"хориогонадотропин) - гормон, вырабатывающийся эмбрионом",Хориальный гонадотропин ,"['хориальн', 'гонадотропин']","{'хориогонадотропин': 0.08427354665375736, 'гормон': 0.0013167741664649587, 'вырабатыва': 0.0020065130155656513, 'эмбрион': 0.04213677332687868}","{'хориогонадотропин': 0.6495891735137749, 'гормон': 0.010149830836152732, 'вырабатыва': 0.015466408893185115, 'эмбрион': 0.32479458675688744}"
14," то же, что переливание крови, ее препаратов и заменителей.",Трансфузия ,['трансфуз'],"{'кров': 0.0005333768775554263, 'препарат': 0.0026335483329299175, 'е': 0.0018320336229077686, 'переливан': 0.02106838666343934, 'заменител': 0.04213677332687868}","{'кров': 0.007820303036742674, 'препарат': 0.03861274624391695, 'е': 0.02686104086533353, 'переливан': 0.3089019699513356, 'заменител': 0.6178039399026712}"
15,"от греч. ""яд"") - сложные соединения белковой природы бактериального, растительного или животного происхождения, способные при попадании в организм вызывать его заболевание или гибель. Содержатся в ядах змей, пауков, скорпионов, целого ряда растений. Токсины, выделяемые бактериями, вызывают столбняк, ботулизм и др. болезни. Токсины применяют для получения анатоксинов -- препаратов для лечения и профилактики заболеваний.",Токсины ,['токсин'],"{'заболеван': 0.0009013213545856402, 'препарат': 0.0026335483329299175, 'вызыва': 0.0029059843673709435, 'др': 0.0006532833073934679, 'ег': 0.002160860170609163, 'организм': 0.0005046320158907626, 'выделя': 0.0025537438379926473, 'лечен': 0.002217724911940983, 'болезн': 0.0009260829302610698, 'профилактик': 0.00702279555447978, 'токсин': 0.012965161023654978, 'греч': 0.0049572674502210215, 'яд': 0.02809118221791912, 'сложн': 0.01053419333171967, 'соединен': 0.004435449823881966, 'белков': 0.00702279555447978, 'природ': 0.006019539046696954, 'бактериальн': 0.02106838666343934, 'растительн': 0.01053419333171967, 'ил': 0.0007913009075470175, 'животн': 0.003009769523348477, 'происхожден': 0.006019539046696954, 'способн': 0.0029059843673709435, 'попадан': 0.02809118221791912, 'гибел': 0.01685470933075147, 'зме': 0.08427354665375736, 'паук': 0.08427354665375736, 'скорпион': 0.08427354665375736, 'цел': 0.00351139777723989, 'ряд': 0.00702279555447978, 'растен': 0.008427354665375735, 'бактер': 0.0029059843673709435, 'столбняк': 0.08427354665375736, 'ботулизм': 0.08427354665375736, 'применя': 0.002718501504959915, 'получен': 0.02809118221791912, 'анатоксин': 0.02809118221791912}","{'заболеван': 0.00131394168702099, 'препарат': 0.0038391733667644547, 'вызыва': 0.004236329232291812, 'ег': 0.003150090967601604, 'выделя': 0.0037228347798928044, 'лечен': 0.0032329880983279617, 'болезн': 0.001350038986114973, 'профилактик': 0.010237795644705212, 'токсин': 0.018900545805609622, 'греч': 0.007226679278615445, 'яд': 0.04095118257882085, 'сложн': 0.015356693467057819, 'соединен': 0.006465976196655923, 'белков': 0.010237795644705212, 'природ': 0.008775253409747325, 'бактериальн': 0.030713386934115638, 'растительн': 0.015356693467057819, 'животн': 0.004387626704873662, 'происхожден': 0.008775253409747325, 'способн': 0.004236329232291812, 'попадан': 0.04095118257882085, 'гибел': 0.024570709547292506, 'зме': 0.12285354773646255, 'паук': 0.12285354773646255, 'скорпион': 0.12285354773646255, 'цел': 0.005118897822352606, 'ряд': 0.010237795644705212, 'растен': 0.012285354773646253, 'бактер': 0.004236329232291812, 'столбняк': 0.12285354773646255, 'ботулизм': 0.12285354773646255, 'применя': 0.003963017668918147, 'получен': 0.04095118257882085, 'анатоксин': 0.04095118257882085}"
16," учение о болезнях (в т.ч. нозологических формах), их классификации и номенклатуре.",Нозология ,['нозолог'],"{'их': 0.001478483274627322, 'т': 0.0015900669179954219, 'болезн': 0.0009260829302610698, 'учен': 0.02809118221791912, 'ч': 0.01685470933075147, 'нозологическ': 0.04213677332687868, 'форм': 0.003830615756988971, 'классификац': 0.08427354665375736, 'номенклатур': 0.08427354665375736}","{'их': 0.005611900457348784, 'т': 0.006035440114507183, 'болезн': 0.00351514644031737, 'учен': 0.1066261086896269, 'ч': 0.06397566521377614, 'нозологическ': 0.15993916303444033, 'форм': 0.01453992391222185, 'классификац': 0.31987832606888067, 'номенклатур': 0.31987832606888067}"
17," бактерии, имеющие форму коротких, изогнутых в виде запятой палочек. Обитают в водоемах, почве, содержимом кишечника. Патогенные виды вызывают заболевания.",Вибрионы ,['вибрион'],"{'заболеван': 0.0004506606772928201, 'вызыва': 0.0014529921836854717, 'бактер': 0.0029059843673709435, 'форм': 0.003830615756988971, 'коротк': 0.02809118221791912, 'изогнут': 0.08427354665375736, 'вид': 0.004815631237357563, 'запят': 0.08427354665375736, 'обита': 0.02106838666343934, 'почв': 0.01404559110895956, 'содержим': 0.01053419333171967, 'кишечник': 0.0049572674502210215, 'патоген': 0.01053419333171967}","{'вызыва': 0.005365888851904747, 'бактер': 0.010731777703809495, 'форм': 0.014146434245930697, 'коротк': 0.10374051780349178, 'изогнут': 0.3112215534104753, 'вид': 0.017784088766312874, 'запят': 0.3112215534104753, 'обита': 0.07780538835261883, 'почв': 0.05187025890174589, 'содержим': 0.03890269417630941, 'кишечник': 0.0183071502006162, 'патоген': 0.03890269417630941}"
18," хронические прогрессирующие заболевания мышц, связанные с нарушениями обмена веществ в мышечной ткани. Характерны мышечная слабость и атрофия мышц.",Миопатия ,['миопат'],"{'заболеван': 0.0004506606772928201, 'мышц': 0.0034397365981125453, 'ткан': 0.0006019539046696954, 'хроническ': 0.00351139777723989, 'нарушен': 0.0012965161023654978, 'обм': 0.001652422483407007, 'веществ': 0.0006741883732300589, 'мышечн': 0.012039078093393909, 'характерн': 0.006019539046696954, 'слабост': 0.02106838666343934, 'атроф': 0.04213677332687868, 'связа': 0.02106838666343934}","{'заболеван': 0.003954584721308588, 'мышц': 0.030183973178967594, 'ткан': 0.005282195306319328, 'хроническ': 0.030812805953529417, 'нарушен': 0.011377036044380092, 'обм': 0.01450014397813149, 'веществ': 0.005916058743077648, 'мышечн': 0.10564390612638658, 'характерн': 0.05282195306319329, 'слабост': 0.1848768357211765, 'атроф': 0.369753671442353, 'связа': 0.1848768357211765}"
19, уменьшение или исчезновение повышенной чувствительности (сенсибилизации) организма к повторному введению чужеродного для него вещества.,Десенсибилизация ,['десенсибилизац'],"{'организм': 0.0005046320158907626, 'ил': 0.0003956504537735087, 'веществ': 0.0006741883732300589, 'уменьшен': 0.01053419333171967, 'исчезновен': 0.04213677332687868, 'повышен': 0.00312124246865768, 'чувствительн': 0.0049572674502210215, 'сенсибилизац': 0.02809118221791912, 'повторн': 0.04213677332687868, 'введен': 0.00312124246865768, 'чужеродн': 0.008427354665375735}","{'организм': 0.0035115865409961395, 'веществ': 0.004691479618770842, 'уменьшен': 0.0733043690432944, 'исчезновен': 0.2932174761731776, 'повышен': 0.021719813049865012, 'чувствительн': 0.03449617366743266, 'сенсибилизац': 0.19547831744878508, 'повторн': 0.2932174761731776, 'введен': 0.021719813049865012, 'чужеродн': 0.05864349523463552}"
