,ProfLinks,DescriptionText,KwMult,KwNorm
15,Фельдшер,"Фе́льдшер (нем. Feldscher[1]) — специалист со средним специальным медицинским образованием, который имеет право проводить диагностику и устанавливать диагноз, проводить самостоятельное лечение или направлять пациента к врачу-специалисту. Нестроевой средний медицинский чин в Русской Императорской Армии[2].","{'специалист': 0.012126868098547582, 'врач': 0.0029497787266737365, 'медицинск': 0.007276120859128549, 'образован': 0.006420106640407544, 'лечен': 0.012126868098547582, 'пациент': 0.015591687555275463, 'нем': 0.02182836257738565, 'ил': 0.007276120859128549, '1': 0.007276120859128549, 'средн': 0.02728545322173206, 'специальн': 0.010914181288692825, 'котор': 0.018190302147821375, 'диагностик': 0.02728545322173206, '2': 0.018190302147821375, 'фе': 0.10914181288692824, 'льдшер': 0.10914181288692824, 'feldscher': 0.10914181288692824, 'имеет': 0.05457090644346412, 'прав': 0.05457090644346412, 'провод': 0.10914181288692824, 'устанавлива': 0.10914181288692824, 'диагноз': 0.10914181288692824, 'самостоятельн': 0.10914181288692824, 'направля': 0.10914181288692824, 'нестроев': 0.10914181288692824, 'чин': 0.10914181288692824, 'русск': 0.10914181288692824, 'императорск': 0.10914181288692824, 'арм': 0.10914181288692824}","{'специалист': 0.007039359982605445, 'врач': 0.001712276752525649, 'медицинск': 0.004223615989563267, 'образован': 0.0037267199907911183, 'лечен': 0.007039359982605445, 'пациент': 0.009050605691921286, 'нем': 0.012670847968689803, 'ил': 0.004223615989563267, '1': 0.004223615989563267, 'средн': 0.015838559960862253, 'специальн': 0.006335423984344901, 'котор': 0.010559039973908169, 'диагностик': 0.015838559960862253, '2': 0.010559039973908169, 'фе': 0.06335423984344901, 'льдшер': 0.06335423984344901, 'feldscher': 0.06335423984344901, 'имеет': 0.031677119921724506, 'прав': 0.031677119921724506, 'провод': 0.06335423984344901, 'устанавлива': 0.06335423984344901, 'диагноз': 0.06335423984344901, 'самостоятельн': 0.06335423984344901, 'направля': 0.06335423984344901, 'нестроев': 0.06335423984344901, 'чин': 0.06335423984344901, 'русск': 0.06335423984344901, 'императорск': 0.06335423984344901, 'арм': 0.06335423984344901}"
17,Провизор,"Прови́зор (лат. pro - ""пред"" visor - ""вижу"", предвидящий, заготавливающий) — специалист с высшим фармацевтическим образованием, работающий в сфере производства, хранения и продажи лекарственных препаратов.","{'специалист': 0.006063434049273791, 'образован': 0.006420106640407544, 'высш': 0.01364272661086603, 'лат': 0.02728545322173206, 'препарат': 0.05457090644346412, 'пров': 0.10914181288692824, 'зор': 0.10914181288692824, 'pro': 0.10914181288692824, 'пред': 0.10914181288692824, 'visor': 0.10914181288692824, 'виж': 0.10914181288692824, 'предвидя': 0.10914181288692824, 'заготавлива': 0.10914181288692824, 'фармацевтическ': 0.10914181288692824, 'работа': 0.05457090644346412, 'сфер': 0.10914181288692824, 'производств': 0.10914181288692824, 'хранен': 0.10914181288692824, 'продаж': 0.10914181288692824, 'лекарствен': 0.10914181288692824}","{'специалист': 0.0035866870615538803, 'образован': 0.003797668653409991, 'высш': 0.008070045888496231, 'лат': 0.016140091776992462, 'препарат': 0.032280183553984924, 'пров': 0.06456036710796985, 'зор': 0.06456036710796985, 'pro': 0.06456036710796985, 'пред': 0.06456036710796985, 'visor': 0.06456036710796985, 'виж': 0.06456036710796985, 'предвидя': 0.06456036710796985, 'заготавлива': 0.06456036710796985, 'фармацевтическ': 0.06456036710796985, 'работа': 0.032280183553984924, 'сфер': 0.06456036710796985, 'производств': 0.06456036710796985, 'хранен': 0.06456036710796985, 'продаж': 0.06456036710796985, 'лекарствен': 0.06456036710796985}"
18,Сиделка,"Сиделка — профессия, предполагающая уход за больным человеком, инвалидом, престарелым, утратившим возможность к самообслуживанию. Не требует медицинского образования.","{'медицинск': 0.0036380604295642746, 'образован': 0.006420106640407544, 'професс': 0.05457090644346412, 'больн': 0.02728545322173206, 'сиделк': 0.10914181288692824, 'предполага': 0.10914181288692824, 'уход': 0.10914181288692824, 'человек': 0.02728545322173206, 'инвалид': 0.10914181288692824, 'престарел': 0.10914181288692824, 'утрат': 0.10914181288692824, 'возможн': 0.10914181288692824, 'самообслуживан': 0.10914181288692824, 'треб': 0.05457090644346412}","{'медицинск': 0.0034750613246116104, 'образован': 0.006132461161079313, 'професс': 0.052125919869174156, 'больн': 0.026062959934587078, 'сиделк': 0.10425183973834831, 'предполага': 0.10425183973834831, 'уход': 0.10425183973834831, 'человек': 0.026062959934587078, 'инвалид': 0.10425183973834831, 'престарел': 0.10425183973834831, 'утрат': 0.10425183973834831, 'возможн': 0.10425183973834831, 'самообслуживан': 0.10425183973834831, 'треб': 0.052125919869174156}"
19,Врач анестезиолог-реаниматолог,"Врач анестезио́лог-реанимато́лог — специалист с высшим медицинским образованием (врач), занимающийся поддержанием и восстановлением жизненно важных функций организма при угрожающих жизни состояниях.","{'лог': 0.031183375110550925, 'специалист': 0.006063434049273791, 'врач': 0.005899557453347473, 'медицинск': 0.0036380604295642746, 'образован': 0.006420106640407544, 'занима': 0.01364272661086603, 'жизн': 0.05457090644346412, 'высш': 0.01364272661086603, 'анестез': 0.10914181288692824, 'реанимат': 0.10914181288692824, 'поддержан': 0.05457090644346412, 'восстановлен': 0.10914181288692824, 'жизнен': 0.10914181288692824, 'важн': 0.10914181288692824, 'функц': 0.05457090644346412, 'организм': 0.05457090644346412, 'угрожа': 0.10914181288692824, 'состоян': 0.10914181288692824}","{'лог': 0.02934170478103669, 'специалист': 0.005705331485201579, 'врач': 0.005551133336952888, 'медицинск': 0.003423198891120947, 'образован': 0.006040939219625201, 'занима': 0.012836995841703553, 'жизн': 0.05134798336681421, 'высш': 0.012836995841703553, 'анестез': 0.10269596673362842, 'реанимат': 0.10269596673362842, 'поддержан': 0.05134798336681421, 'восстановлен': 0.10269596673362842, 'жизнен': 0.10269596673362842, 'важн': 0.10269596673362842, 'функц': 0.05134798336681421, 'организм': 0.05134798336681421, 'угрожа': 0.10269596673362842, 'состоян': 0.10269596673362842}"
20,Парамедик,"Параме́дик (англ. paramedic) — специалист с медицинским образованием, работающий в службе скорой медицинской помощи, аварийно-спасательных и военных подразделениях и обладающий навыками оказания экстренной медицинской помощи на догоспитальном этапе. Термин используется преимущественно в странах с англо-американской моделью экстренной помощи[1]. В зависимости от страны или ее региона, срок обучения лиц, которых называют парамедиками может отличаться и колеблется от нескольких месяцев до 4 лет[1][2].","{'специалист': 0.006063434049273791, 'медицинск': 0.010914181288692823, 'образован': 0.006420106640407544, 'ил': 0.007276120859128549, '1': 0.014552241718257098, 'помощ': 0.05457090644346413, 'преимуществен': 0.05457090644346412, 'котор': 0.018190302147821375, 'англ': 0.0727612085912855, 'оказан': 0.03638060429564275, 'лиц': 0.02728545322173206, 'воен': 0.02728545322173206, 'служб': 0.05457090644346412, 'подразделен': 0.05457090644346412, 'может': 0.05457090644346412, '2': 0.018190302147821375, 'работа': 0.05457090644346412, 'парам': 0.10914181288692824, 'дик': 0.10914181288692824, 'paramedic': 0.10914181288692824, 'скор': 0.10914181288692824, 'аварийн': 0.10914181288692824, 'спасательн': 0.10914181288692824, 'облада': 0.10914181288692824, 'навык': 0.05457090644346412, 'экстрен': 0.10914181288692824, 'догоспитальн': 0.10914181288692824, 'этап': 0.10914181288692824, 'термин': 0.10914181288692824, 'использ': 0.05457090644346412, 'стран': 0.0727612085912855, 'американск': 0.10914181288692824, 'модел': 0.10914181288692824, 'зависим': 0.10914181288692824, 'е': 0.10914181288692824, 'регион': 0.10914181288692824, 'срок': 0.10914181288692824, 'обучен': 0.05457090644346412, 'называ': 0.10914181288692824, 'парамедик': 0.10914181288692824, 'отлича': 0.10914181288692824, 'колеблет': 0.10914181288692824, 'нескольк': 0.10914181288692824, 'месяц': 0.10914181288692824, '4': 0.05457090644346412, 'лет': 0.10914181288692824}","{'специалист': 0.0017407688054230075, 'медицинск': 0.0031333838497614136, 'образован': 0.0018431669704478905, 'ил': 0.002088922566507609, '1': 0.004177845133015218, 'помощ': 0.01566691924880707, 'преимуществен': 0.01566691924880707, 'котор': 0.005222306416269023, 'англ': 0.020889225665076092, 'оказан': 0.010444612832538046, 'лиц': 0.007833459624403535, 'воен': 0.007833459624403535, 'служб': 0.01566691924880707, 'подразделен': 0.01566691924880707, 'может': 0.01566691924880707, '2': 0.005222306416269023, 'работа': 0.01566691924880707, 'парам': 0.03133383849761414, 'дик': 0.03133383849761414, 'paramedic': 0.03133383849761414, 'скор': 0.03133383849761414, 'аварийн': 0.03133383849761414, 'спасательн': 0.03133383849761414, 'облада': 0.03133383849761414, 'навык': 0.01566691924880707, 'экстрен': 0.03133383849761414, 'догоспитальн': 0.03133383849761414, 'этап': 0.03133383849761414, 'термин': 0.03133383849761414, 'использ': 0.01566691924880707, 'стран': 0.020889225665076092, 'американск': 0.03133383849761414, 'модел': 0.03133383849761414, 'зависим': 0.03133383849761414, 'е': 0.03133383849761414, 'регион': 0.03133383849761414, 'срок': 0.03133383849761414, 'обучен': 0.01566691924880707, 'называ': 0.03133383849761414, 'парамедик': 0.03133383849761414, 'отлича': 0.03133383849761414, 'колеблет': 0.03133383849761414, 'нескольк': 0.03133383849761414, 'месяц': 0.03133383849761414, '4': 0.01566691924880707, 'лет': 0.03133383849761414}"
21,Эндокринолог,"Эндокрино́лог —  врач, получивший специализацию по вопросам диагностики, профилактики и лечения патологии эндокринной системы в интернатуре, ординатуре или на кафедре института последипломного образования врачей.","{'лог': 0.015591687555275463, 'врач': 0.005899557453347473, 'получ': 0.015591687555275463, 'образован': 0.006420106640407544, 'лечен': 0.012126868098547582, 'вопрос': 0.03638060429564275, 'ил': 0.007276120859128549, 'диагностик': 0.02728545322173206, 'профилактик': 0.05457090644346412, 'патолог': 0.05457090644346412, 'эндокрин': 0.10914181288692824, 'специализац': 0.05457090644346412, 'систем': 0.03638060429564275, 'интернатур': 0.10914181288692824, 'ординатур': 0.10914181288692824, 'кафедр': 0.10914181288692824, 'институт': 0.10914181288692824, 'последипломн': 0.10914181288692824}","{'лог': 0.015885307017020792, 'врач': 0.006010656709143003, 'получ': 0.015885307017020792, 'образован': 0.006541008771714444, 'лечен': 0.012355238791016172, 'вопрос': 0.037065716373048514, 'ил': 0.007413143274609703, 'диагностик': 0.027799287279786387, 'профилактик': 0.055598574559572775, 'патолог': 0.055598574559572775, 'эндокрин': 0.11119714911914555, 'специализац': 0.055598574559572775, 'систем': 0.037065716373048514, 'интернатур': 0.11119714911914555, 'ординатур': 0.11119714911914555, 'кафедр': 0.11119714911914555, 'институт': 0.11119714911914555, 'последипломн': 0.11119714911914555}"
22,Судебный медик,"Судебный медик — квалифицированный эксперт в области судебной медицины, в чьи обязанности входит расследование случаев смертей и травм, происходящих при необычных или подозрительных обстоятельствах, выполнение посмертной экспертизы. В некоторых государствах имеет право инициировать дознание.[1]","{'област': 0.012126868098547582, 'эксперт': 0.05457090644346412, 'ил': 0.007276120859128549, '1': 0.007276120859128549, 'медик': 0.018190302147821375, 'обязан': 0.02728545322173206, 'медицин': 0.03638060429564275, 'травм': 0.03638060429564275, 'вход': 0.03638060429564275, 'случа': 0.03638060429564275, 'смерт': 0.05457090644346412, 'имеет': 0.05457090644346412, 'прав': 0.05457090644346412, 'судебн': 0.05457090644346412, 'квалифицирова': 0.10914181288692824, 'чьи': 0.10914181288692824, 'расследован': 0.10914181288692824, 'происходя': 0.10914181288692824, 'необычн': 0.10914181288692824, 'подозрительн': 0.10914181288692824, 'обстоятельств': 0.10914181288692824, 'выполнен': 0.10914181288692824, 'посмертн': 0.10914181288692824, 'экспертиз': 0.03638060429564275, 'некотор': 0.10914181288692824, 'государств': 0.10914181288692824, 'инициирова': 0.10914181288692824, 'дознан': 0.10914181288692824}","{'област': 0.006232471174820818, 'эксперт': 0.028046120286693683, 'ил': 0.003739482704892491, '1': 0.003739482704892491, 'медик': 0.00934870676223123, 'обязан': 0.014023060143346842, 'медицин': 0.01869741352446246, 'травм': 0.01869741352446246, 'вход': 0.01869741352446246, 'случа': 0.01869741352446246, 'смерт': 0.028046120286693683, 'имеет': 0.028046120286693683, 'прав': 0.028046120286693683, 'судебн': 0.028046120286693683, 'квалифицирова': 0.05609224057338737, 'чьи': 0.05609224057338737, 'расследован': 0.05609224057338737, 'происходя': 0.05609224057338737, 'необычн': 0.05609224057338737, 'подозрительн': 0.05609224057338737, 'обстоятельств': 0.05609224057338737, 'выполнен': 0.05609224057338737, 'посмертн': 0.05609224057338737, 'экспертиз': 0.01869741352446246, 'некотор': 0.05609224057338737, 'государств': 0.05609224057338737, 'инициирова': 0.05609224057338737, 'дознан': 0.05609224057338737}"
23,Аптекарь,"Апте́карь (нем. Apotheker) — специалист в области лекарств, современное название — фармацевт.","{'специалист': 0.006063434049273791, 'област': 0.012126868098547582, 'нем': 0.02182836257738565, 'кар': 0.05457090644346412, 'назван': 0.05457090644346412, 'современ': 0.05457090644346412, 'апт': 0.10914181288692824, 'apotheker': 0.10914181288692824, 'лекарств': 0.10914181288692824, 'фармацевт': 0.10914181288692824}","{'специалист': 0.00946969696969697, 'област': 0.01893939393939394, 'нем': 0.034090909090909095, 'кар': 0.08522727272727273, 'назван': 0.08522727272727273, 'современ': 0.08522727272727273, 'апт': 0.17045454545454547, 'apotheker': 0.17045454545454547, 'лекарств': 0.17045454545454547, 'фармацевт': 0.17045454545454547}"
24,Невролог,"Невро́лог (до 1980-х гг. — невропато́лог[1]) — врач, получивший высшее медицинское образование и прошедший специализацию по специальности неврология. Невролог занимается диагностикой и лечением болезней, связанных с нервной системой. Это заболевания центральной (головной и спинной мозг) и периферической нервной системы (нервные волокна). Например: опухоли головного и спинного мозга, невриты, невралгии, инсульты и другие нарушения кровообращения головного мозга, энцефалиты, приступы эпилепсии. Многие из этих заболеваний сопровождаются изменением поведения и психического функционирования, тогда к лечению таких пациентов привлекаются психиатры и иногда психотерапевты.","{'лог': 0.031183375110550925, 'врач': 0.0029497787266737365, 'медицинск': 0.0036380604295642746, 'получ': 0.015591687555275463, 'образован': 0.006420106640407544, 'занима': 0.01364272661086603, 'лечен': 0.024253736197095165, 'пациент': 0.015591687555275463, 'связа': 0.05457090644346412, '1': 0.007276120859128549, 'специальн': 0.010914181288692825, 'высш': 0.01364272661086603, 'эт': 0.0436567251547713, 'психиатр': 0.03638060429564275, 'психическ': 0.05457090644346412, 'болезн': 0.05457090644346412, 'диагностик': 0.02728545322173206, 'заболеван': 0.03638060429564275, 'нарушен': 0.03638060429564275, 'головн': 0.08185635966519618, 'мозг': 0.08185635966519618, 'иногд': 0.05457090644346412, 'прошедш': 0.03638060429564275, 'друг': 0.05457090644346412, 'специализац': 0.05457090644346412, 'систем': 0.0727612085912855, 'невр': 0.10914181288692824, '1980': 0.10914181288692824, 'х': 0.10914181288692824, 'гг': 0.10914181288692824, 'невропат': 0.10914181288692824, 'невролог': 0.10914181288692824, 'нервн': 0.10914181288692826, 'центральн': 0.10914181288692824, 'спин': 0.10914181288692824, 'периферическ': 0.10914181288692824, 'волокн': 0.10914181288692824, 'например': 0.05457090644346412, 'опухол': 0.10914181288692824, 'неврит': 0.10914181288692824, 'невралг': 0.10914181288692824, 'инсульт': 0.10914181288692824, 'кровообращен': 0.10914181288692824, 'энцефалит': 0.10914181288692824, 'приступ': 0.10914181288692824, 'эпилепс': 0.10914181288692824, 'мног': 0.05457090644346412, 'сопровожда': 0.10914181288692824, 'изменен': 0.10914181288692824, 'поведен': 0.10914181288692824, 'функционирован': 0.10914181288692824, 'тогд': 0.10914181288692824, 'привлека': 0.10914181288692824, 'психотерапевт': 0.10914181288692824}","{'лог': 0.008052939721306551, 'врач': 0.0007617645682317009, 'медицинск': 0.000939509634152431, 'получ': 0.004026469860653276, 'образован': 0.001657958177916055, 'занима': 0.0035231611280716166, 'лечен': 0.006263397561016207, 'пациент': 0.004026469860653276, 'связа': 0.014092644512286466, '1': 0.001879019268304862, 'специальн': 0.0028185289024572936, 'высш': 0.0035231611280716166, 'эт': 0.011274115609829174, 'психиатр': 0.009395096341524311, 'психическ': 0.014092644512286466, 'болезн': 0.014092644512286466, 'диагностик': 0.007046322256143233, 'заболеван': 0.009395096341524311, 'нарушен': 0.009395096341524311, 'головн': 0.0211389667684297, 'мозг': 0.0211389667684297, 'иногд': 0.014092644512286466, 'прошедш': 0.009395096341524311, 'друг': 0.014092644512286466, 'специализац': 0.014092644512286466, 'систем': 0.018790192683048622, 'невр': 0.028185289024572933, '1980': 0.028185289024572933, 'х': 0.028185289024572933, 'гг': 0.028185289024572933, 'невропат': 0.028185289024572933, 'невролог': 0.028185289024572933, 'нервн': 0.028185289024572936, 'центральн': 0.028185289024572933, 'спин': 0.028185289024572933, 'периферическ': 0.028185289024572933, 'волокн': 0.028185289024572933, 'например': 0.014092644512286466, 'опухол': 0.028185289024572933, 'неврит': 0.028185289024572933, 'невралг': 0.028185289024572933, 'инсульт': 0.028185289024572933, 'кровообращен': 0.028185289024572933, 'энцефалит': 0.028185289024572933, 'приступ': 0.028185289024572933, 'эпилепс': 0.028185289024572933, 'мног': 0.014092644512286466, 'сопровожда': 0.028185289024572933, 'изменен': 0.028185289024572933, 'поведен': 0.028185289024572933, 'функционирован': 0.028185289024572933, 'тогд': 0.028185289024572933, 'привлека': 0.028185289024572933, 'психотерапевт': 0.028185289024572933}"
25,Врачебная практика,Врачебная практика (общая врачебная практика) — действия врача по проведению лечебных мероприятий и процедур.,"{'врач': 0.0029497787266737365, 'действ': 0.05457090644346412, 'врачебн': 0.03638060429564275, 'общ': 0.018190302147821375, 'практик': 0.031183375110550925, 'проведен': 0.10914181288692824, 'лечебн': 0.03638060429564275, 'мероприят': 0.10914181288692824, 'процедур': 0.10914181288692824}","{'врач': 0.005817174515235456, 'действ': 0.10761772853185594, 'врачебн': 0.07174515235457063, 'общ': 0.035872576177285315, 'практик': 0.06149584487534625, 'проведен': 0.2152354570637119, 'лечебн': 0.07174515235457063, 'мероприят': 0.2152354570637119, 'процедур': 0.2152354570637119}"
28,Санитар,"Санита́р (в женском роде санита́рка[1]) — младший медицинский работник (лицо низшего медицинского персонала[2]), выполняющий вспомогательные функции в медицинской практике, ранее человек ухаживающий за больными и ранеными на войне[3].","{'медицинск': 0.010914181288692823, '1': 0.007276120859128549, 'рка': 0.05457090644346412, 'род': 0.02728545322173206, 'работник': 0.03638060429564275, 'больн': 0.02728545322173206, 'р': 0.05457090644346412, 'санит': 0.0727612085912855, 'лиц': 0.02728545322173206, 'младш': 0.03638060429564275, 'практик': 0.015591687555275463, '2': 0.018190302147821375, 'человек': 0.02728545322173206, 'функц': 0.05457090644346412, '3': 0.03638060429564275, 'женск': 0.10914181288692824, 'низш': 0.10914181288692824, 'персона': 0.10914181288692824, 'выполня': 0.10914181288692824, 'вспомогательн': 0.10914181288692824, 'ран': 0.10914181288692824, 'ухажива': 0.10914181288692824, 'ранен': 0.10914181288692824, 'войн': 0.10914181288692824}","{'медицинск': 0.007329842931937174, '1': 0.004886561954624783, 'рка': 0.036649214659685875, 'род': 0.018324607329842937, 'работник': 0.024432809773123915, 'больн': 0.018324607329842937, 'р': 0.036649214659685875, 'санит': 0.04886561954624783, 'лиц': 0.018324607329842937, 'младш': 0.024432809773123915, 'практик': 0.010471204188481678, '2': 0.012216404886561958, 'человек': 0.018324607329842937, 'функц': 0.036649214659685875, '3': 0.024432809773123915, 'женск': 0.07329842931937175, 'низш': 0.07329842931937175, 'персона': 0.07329842931937175, 'выполня': 0.07329842931937175, 'вспомогательн': 0.07329842931937175, 'ран': 0.07329842931937175, 'ухажива': 0.07329842931937175, 'ранен': 0.07329842931937175, 'войн': 0.07329842931937175}"
29,Медицинская сестра,"Медици́нская сестра́ (медсестра́)[1] — специалист со средним специальным медицинским образованием в области сестринского дела. Медицинская сестра относится к среднему медицинскому персоналу, является младшим специалистом (это указано в дипломе медсестры) по отношению к специалисту — врачу.","{'специалист': 0.01819030214782137, 'област': 0.012126868098547582, 'врач': 0.0029497787266737365, 'явля': 0.01364272661086603, 'медицинск': 0.010914181288692823, 'образован': 0.006420106640407544, 'диплом': 0.05457090644346412, '1': 0.007276120859128549, 'средн': 0.02728545322173206, 'специальн': 0.010914181288692825, 'дел': 0.03638060429564275, 'эт': 0.02182836257738565, 'младш': 0.03638060429564275, 'медиц': 0.03638060429564275, 'нска': 0.10914181288692824, 'сестр': 0.10914181288692824, 'медсестр': 0.10914181288692824, 'сестринск': 0.10914181288692824, 'относ': 0.10914181288692824, 'персонал': 0.10914181288692824, 'указа': 0.10914181288692824, 'отношен': 0.10914181288692824}","{'специалист': 0.015568619702018104, 'област': 0.010379079801345403, 'врач': 0.0025246410327596927, 'явля': 0.011676464776513578, 'медицинск': 0.009341171821210862, 'образован': 0.005494806953653449, 'диплом': 0.046705859106054314, '1': 0.006227447880807242, 'средн': 0.023352929553027157, 'специальн': 0.009341171821210864, 'дел': 0.03113723940403621, 'эт': 0.018682343642421727, 'младш': 0.03113723940403621, 'медиц': 0.03113723940403621, 'нска': 0.09341171821210863, 'сестр': 0.09341171821210863, 'медсестр': 0.09341171821210863, 'сестринск': 0.09341171821210863, 'относ': 0.09341171821210863, 'персонал': 0.09341171821210863, 'указа': 0.09341171821210863, 'отношен': 0.09341171821210863}"
30,Судебно-медицинский эксперт,"Суде́бно-медици́нский экспе́рт — врач, занимающий штатную должность в учреждениях судебно-медицинской экспертизы, прошедший обучение по специальности судебно-медицинская экспертиза и имеющий сертификат специалиста в данной области.","{'специалист': 0.006063434049273791, 'област': 0.012126868098547582, 'врач': 0.0029497787266737365, 'медицинск': 0.007276120859128549, 'занима': 0.01364272661086603, 'должност': 0.018190302147821375, 'специальн': 0.010914181288692825, 'прошедш': 0.03638060429564275, 'обучен': 0.05457090644346412, 'судебн': 0.05457090644346412, 'экспертиз': 0.0727612085912855, 'медиц': 0.03638060429564275, 'суд': 0.10914181288692824, 'бно': 0.10914181288692824, 'нски': 0.05457090644346412, 'эксп': 0.10914181288692824, 'рт': 0.10914181288692824, 'штатн': 0.10914181288692824, 'учрежден': 0.03638060429564275, 'имеющ': 0.05457090644346412, 'сертификат': 0.10914181288692824, 'дан': 0.10914181288692824}","{'специалист': 0.004908300998242299, 'област': 0.009816601996484597, 'врач': 0.0023878221072530102, 'медицинск': 0.005889961197890758, 'занима': 0.011043677246045172, 'должност': 0.014724902994726896, 'специальн': 0.008834941796836138, 'прошедш': 0.029449805989453792, 'обучен': 0.04417470898418069, 'судебн': 0.04417470898418069, 'экспертиз': 0.058899611978907584, 'медиц': 0.029449805989453792, 'суд': 0.08834941796836138, 'бно': 0.08834941796836138, 'нски': 0.04417470898418069, 'эксп': 0.08834941796836138, 'рт': 0.08834941796836138, 'штатн': 0.08834941796836138, 'учрежден': 0.029449805989453792, 'имеющ': 0.04417470898418069, 'сертификат': 0.08834941796836138, 'дан': 0.08834941796836138}"
31,Врач,"Врач — человек, использующий свои навыки, знания и опыт в предупреждении и лечении заболеваний, поддержании нормальной жизнедеятельности организма человека. Во многих странах мира требуется разрешение местных органов власти на деятельность врача, либо соответствующая квалификация, незаконная же деятельность влечёт наказание. В России например, незаконная врачебная деятельность является уголовно наказуемым деянием, в случае если таковая стала причиной существенного вреда.[1] Врач — доктор, медик, также  лицо, получившее высшее медицинское образование по соответствующей специальности (кроме зубных врачей, имеющих средне-специальное медицинское образование (не путайте со стоматологами))[2][3][4][5].","{'соответств': 0.02728545322173206, 'врач': 0.011799114906694946, 'явля': 0.01364272661086603, 'медицинск': 0.007276120859128549, 'получ': 0.015591687555275463, 'образован': 0.012840213280815088, 'лечен': 0.012126868098547582, 'такж': 0.02182836257738565, 'либ': 0.05457090644346412, '1': 0.007276120859128549, 'средн': 0.01364272661086603, 'росс': 0.02728545322173206, 'специальн': 0.02182836257738565, 'медик': 0.018190302147821375, 'квалификац': 0.05457090644346412, 'пута': 0.03638060429564275, 'высш': 0.01364272661086603, 'заболеван': 0.018190302147821375, 'зубн': 0.015591687555275463, 'стоматолог': 0.02728545322173206, 'случа': 0.03638060429564275, 'доктор': 0.02728545322173206, 'стал': 0.05457090644346412, 'врачебн': 0.018190302147821375, 'лиц': 0.02728545322173206, '2': 0.018190302147821375, 'человек': 0.05457090644346412, 'треб': 0.05457090644346412, 'поддержан': 0.05457090644346412, 'организм': 0.05457090644346412, 'навык': 0.05457090644346412, 'использ': 0.05457090644346412, 'стран': 0.03638060429564275, '4': 0.05457090644346412, 'например': 0.05457090644346412, 'мног': 0.05457090644346412, '3': 0.03638060429564275, 'имеющ': 0.05457090644346412, 'сво': 0.10914181288692824, 'знан': 0.10914181288692824, 'оп': 0.10914181288692824, 'предупрежден': 0.10914181288692824, 'нормальн': 0.10914181288692824, 'жизнедеятельн': 0.10914181288692824, 'мир': 0.10914181288692824, 'разрешен': 0.10914181288692824, 'местн': 0.10914181288692824, 'орган': 0.10914181288692824, 'власт': 0.10914181288692824, 'деятельн': 0.10914181288692826, 'соответствующ': 0.10914181288692824, 'незакон': 0.10914181288692824, 'влечет': 0.10914181288692824, 'наказан': 0.10914181288692824, 'уголовн': 0.10914181288692824, 'наказуем': 0.10914181288692824, 'деян': 0.10914181288692824, 'есл': 0.10914181288692824, 'таков': 0.10914181288692824, 'причин': 0.10914181288692824, 'существен': 0.10914181288692824, 'вред': 0.10914181288692824, 'кром': 0.10914181288692824, '5': 0.10914181288692824}","{'соответств': 0.0067058441938976105, 'врач': 0.002899824516280048, 'явля': 0.0033529220969488053, 'медицинск': 0.001788225118372696, 'получ': 0.0038319109679414913, 'образован': 0.0031556913853635813, 'лечен': 0.0029803751972878267, 'такж': 0.005364675355118089, 'либ': 0.013411688387795221, '1': 0.001788225118372696, 'средн': 0.0033529220969488053, 'росс': 0.0067058441938976105, 'специальн': 0.005364675355118089, 'медик': 0.004470562795931741, 'квалификац': 0.013411688387795221, 'пута': 0.008941125591863481, 'высш': 0.0033529220969488053, 'заболеван': 0.004470562795931741, 'зубн': 0.0038319109679414913, 'стоматолог': 0.0067058441938976105, 'случа': 0.008941125591863481, 'доктор': 0.0067058441938976105, 'стал': 0.013411688387795221, 'врачебн': 0.004470562795931741, 'лиц': 0.0067058441938976105, '2': 0.004470562795931741, 'человек': 0.013411688387795221, 'треб': 0.013411688387795221, 'поддержан': 0.013411688387795221, 'организм': 0.013411688387795221, 'навык': 0.013411688387795221, 'использ': 0.013411688387795221, 'стран': 0.008941125591863481, '4': 0.013411688387795221, 'например': 0.013411688387795221, 'мног': 0.013411688387795221, '3': 0.008941125591863481, 'имеющ': 0.013411688387795221, 'сво': 0.026823376775590442, 'знан': 0.026823376775590442, 'оп': 0.026823376775590442, 'предупрежден': 0.026823376775590442, 'нормальн': 0.026823376775590442, 'жизнедеятельн': 0.026823376775590442, 'мир': 0.026823376775590442, 'разрешен': 0.026823376775590442, 'местн': 0.026823376775590442, 'орган': 0.026823376775590442, 'власт': 0.026823376775590442, 'деятельн': 0.026823376775590446, 'соответствующ': 0.026823376775590442, 'незакон': 0.026823376775590442, 'влечет': 0.026823376775590442, 'наказан': 0.026823376775590442, 'уголовн': 0.026823376775590442, 'наказуем': 0.026823376775590442, 'деян': 0.026823376775590442, 'есл': 0.026823376775590442, 'таков': 0.026823376775590442, 'причин': 0.026823376775590442, 'существен': 0.026823376775590442, 'вред': 0.026823376775590442, 'кром': 0.026823376775590442, '5': 0.026823376775590442}"
