Name,ActiveSubstance,Targ,AnaloguesText,AnalogsLinks,PharmaLink-href,Lots-href,Аптека/Адрес,Метро,Цена,As,Tf-Idf,KwFilt
ЭГОЛАНЗА® (Egolanza®),Оланзапин* (Olanzapine*), — антипсихотическое,"
Оланзапин-СЗ
Заласта®








Оланзапин-Виал
Оланзапин Канон




Золафрен Квик















Оланзапин-АЛСИ
Оланзапин-Тева



Оланзапин-ТЛ
Оланзапин















Заласта® Ку-таб®



Зипрекса® Зидис®

Зипрекса®
Оланзапин Медисорб



","Зипрекса® Зидис®




Оланзапин-Виал









Заласта®







Зипрекса®






Золафрен Квик




Оланзапин-АЛСИ

Заласта® Ку-таб®



Оланзапин-СЗ


Оланзапин-Тева

Оланзапин Медисорб


Оланзапин Канон
Оланзапин-ТЛ
Оланзапин














",https://www.rlsnet.ru/tn_index_id_49381.htm,"















https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/egolanza-243562/&page=/tn_index_id_49381.htm







https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jegolanza-tab-p-p-o-5mg-n28-0014837.html&page=/tn_index_id_49381.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/egolanza-tab-p-p-o-10mg-n28-6858&page=/tn_index_id_49381.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/egolanza-243569/&page=/tn_index_id_49381.htm







https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/egolanza-tab-p-p-o-5mg-n28-6857&page=/tn_index_id_49381.htm

















https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jegolanza-tab-p-p-o-10mg-n28-0014840.html&page=/tn_index_id_49381.htm










https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/1129511/&page=/tn_index_id_49381.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/1129411/&page=/tn_index_id_49381.htm","















REDapteka  Первомайская ул, 42к3, Москва (Пятерочка)  Экспресс заказ  09:00-21:00 Пн-Вс











Авиценна Фарма  Измайловское ш, 13, Москва  Экспресс заказ  Круглосуточно





































","















Измайловская

















































","















1748₽Забрать сегодня











946₽Забрать сегодня





































","['оланзапин', 'olanzapine']",{'антипсихотическ': 1.5491969672906811},{'антипсихотическ': 1.5491969672906811}
ЭСПА-НАЦ® (ESPA-NAC®),Ацетилцистеин* (Acetylcysteine*), — муколитическое,"











160.43 р.


111.40 р.















","111.40 р.








160.43 р.





















",https://www.rlsnet.ru/tn_index_id_93738.htm,"




https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/espa-nac-344461/&page=/tn_index_id_93738.htm











https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/espa-nats_600mg_3g_n20_poroshok_dprigotovleniya_r-ra_dpriema_vnutr_lindofarm_gmbkh.html&page=/tn_index_id_93738.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/espa-nac-344462/&page=/tn_index_id_93738.htm




https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/espa-nats-por-dlya-prig-r-ra-dvnutr-priema-200mg-paket-3g-20-15819&page=/tn_index_id_93738.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/espa-nats-por-dlya-prig-r-ra-dvnutr-priema-600mg-paket-3g-20-15820&page=/tn_index_id_93738.htm","




ТРИКА  Багратионовский пр-д, 1с1, Москва  Экспресс заказ  Круглосуточно













Авиценна Фарма  г.Реутов, Юбилейный, д. 2, б  Экспресс заказ  Круглосуточно











","




Фили

























","




113₽Забрать сегодня













149₽Забрать сегодня











","['ацетилцистеин', 'acetylcysteine']",{'муколитическ': 0.6590739535520163},{'муколитическ': 0.6590739535520163}
ЭСПАРОКСИ® (ESPAROXY®),Рокситромицин* (Roxithromycin*)," — бактериостатическое, антибактериальное","
























","
























",https://www.rlsnet.ru/tn_index_id_48528.htm,"https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jesparoksi-tab-p-o-150mg-n10-0012137.html&page=/tn_index_id_48528.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/1255211/&page=/tn_index_id_48528.htm













https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/esparoksi-tab-p-o-150mg-n10-6963&page=/tn_index_id_48528.htm



","
























","
























","
























","['рокситромицин', 'roxithromycin']","{'бактериостатическ': 2.5265280049901038, 'антибактериальн': 0.10700622334134198}","{'бактериостатическ': 2.5265280049901038, 'антибактериальн': 0.10700622334134198}"
ЭСПИРО (Espiro),Эплеренон* (Eplerenone), — диуретическое,"

































































































































","

































































































































",https://www.rlsnet.ru/tn_index_id_80342.htm,"




https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/241682&page=/tn_index_id_80342.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/espiro-tab-p-p-o-50mg-n30-10212&page=/tn_index_id_80342.htm



























https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/4726011/&page=/tn_index_id_80342.htm















https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/espiro-tab-p-p-o-25mg-n30-10214&page=/tn_index_id_80342.htm











https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jespiro-tab-p-p-o-25mg-n30-0024061.html&page=/tn_index_id_80342.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/espiro-312888/&page=/tn_index_id_80342.htm














https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jespiro-tab-p-p-o-50mg-n30-0024062.html&page=/tn_index_id_80342.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/espiro-288135/&page=/tn_index_id_80342.htm









https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/4726111/&page=/tn_index_id_80342.htm














https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/espiro_50mg_n30_tab_pokrytye_plenochnoy_obolochkoy_polfarma.html&page=/tn_index_id_80342.htm

















https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/241683&page=/tn_index_id_80342.htm


","



































































19 Аптека  г.Монино, Комсомольская, д. 3, а  ЗдравСити  10:00-19:00 Пн-Вс















Авиценна Фарма  г.Москва, Краснобогатырская, д. 79  Экспресс заказ  Круглосуточно













































","



















































































Преображенская площадь













































","



































































777₽Забрать завтра















616₽Забрать сегодня













































","['эплеренон', 'eplerenone']",{'диуретическ': 0.3943309570226593},{'диуретическ': 0.3943309570226593}
ЭСТРОКАД® (Ectrokad),Эстриол (Estriol), — эстрогенное,"































","































",https://www.rlsnet.ru/tn_index_id_26400.htm,"


https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/estrokad_05mg_n10_suppozitorii_vaginalnye_dr_kade_farmatsevticheskaya_fabrika_gmbkh.html&page=/tn_index_id_26400.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/estrokad-supp-vag-0-5mg-10-4086&page=/tn_index_id_26400.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/estrokad-167399/&page=/tn_index_id_26400.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/22203703/&page=/tn_index_id_26400.htm

















https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jestrokad-supp-vag-0-5mg-n10-0054811.html&page=/tn_index_id_26400.htm



","





АСНА  г.Москва, Проспект Ленинградский, д. 60, корп. 1  Экспресс заказ  Круглосуточно

























","





Аэропорт

























","





535₽Забрать сегодня

























","['эстриол', 'estriol']",{'эстроген': 0.8273530556212105},{'эстроген': 0.8273530556212105}
ЭТРУЗИЛ® (Etruzil®),Летрозол* (Letrozole*)," — противоопухолевое, ингибитор синтеза эстрогенов","





















","





















",https://www.rlsnet.ru/tn_index_id_49272.htm,"





















","





















","





















","





















","['летрозол', 'letrozole']","{'противоопухолев': 0.1586573018135549, 'ингибитор': 5.746203190540153, 'синтез': 2.5265280049901038, 'эстрог': 0.8273530556212105}","{'противоопухолев': 0.1586573018135549, 'ингибитор': 5.746203190540153, 'синтез': 2.5265280049901038, 'эстрог': 0.8273530556212105}"
ЭУФОРБИУМ КОМПОЗИТУМ® НАЗЕНТРОПФЕН С (Euphorbium compositum Nasentropfen S®),null, — гомеопатическое,"























","























",https://www.rlsnet.ru/tn_index_id_3758.htm,"



https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/euforbium-kompozitum-nazentropfen-s-sprei-naz-20ml-797&page=/tn_index_id_3758.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/euforbium_kompozitum_20ml_sprey_nazalnyy_biologische_heilmittel_heel_gmbh.html&page=/tn_index_id_3758.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/euforbium-kompozitum-nazentropfen-s-297993/&page=/tn_index_id_3758.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jeuforbium-kompozitum-nazentropfen-s-sprej-naz-20ml-0005345.html&page=/tn_index_id_3758.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/2602100/&page=/tn_index_id_3758.htm","










ПроАптека. Здравсити №11  Вертолетчиков ул, 9 к 2, Москва  Экспресс заказ  09:00-21:00 Пн-Вс












","























","










466₽Забрать сегодня












",['null'],{'гомеопатическ': 0.6590739535520163},{'гомеопатическ': 0.6590739535520163}
Эбрантил® (Ebrantil®),Урапидил* (Urapidil*)," — гипотензивное, альфа-адреноблокирующее","



607.15 р.








197.57 р.













813.07 р.



607.15 р.

















341.26 р.


813.07 р.
197.57 р.





341.26 р.















","


197.57 р.













197.57 р.








341.26 р.













607.15 р.


813.07 р.


813.07 р.
















607.15 р.










341.26 р.
",https://www.rlsnet.ru/tn_index_id_3650.htm,"










https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/ebrantil-342329/&page=/tn_index_id_3650.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=13&obj_nam=omnipharm&url=https://omnipharm.ru/catalog/lekarstvennye-preparaty/sredstva-deystvuyushchie-na-adrenergicheskie-protsessy/ebrantil-5-mg-ml-10-ml-5-ampuly/&page=/tn_index_id_3650.htm






https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/25984803/&page=/tn_index_id_3650.htm















https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/25984903/&page=/tn_index_id_3650.htm












https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/ebrantil-342330/&page=/tn_index_id_3650.htm


















https://rlsnet.ru/away.php?obj=apteka&id_obj=13&obj_nam=omnipharm&url=https://omnipharm.ru/catalog/lekarstvennye-preparaty/sredstva-deystvuyushchie-na-adrenergicheskie-protsessy/ebrantil_5_mg_ml_10_ml_5_amp_v_v/&page=/tn_index_id_3650.htm





","










Авиценна Фарма  Совхозная ул, 20, Москва  Экспресс заказ  Круглосуточно






































Авиценна Фарма  Башиловская ул, 19, Москва  Экспресс заказ  Круглосуточно
























","










































































","










999₽Забрать сегодня






































599₽Забрать сегодня
























","['урапид', 'urapidil']","{'гипотензивн': 0.08203128829495446, 'альф': 5.746203190540153, 'адреноблокирова': 2.5265280049901038}","{'гипотензивн': 0.08203128829495446, 'альф': 5.746203190540153, 'адреноблокирова': 2.5265280049901038}"
Эвалар (Evalar),A13A Общетонизирующие препараты, — общетонизирующее,"
















","
















",https://www.rlsnet.ru/tn_index_id_12903.htm,"





https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevalar-jeliksir-250ml-0008755.html&page=/tn_index_id_12903.htm







https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evalar-eliksir-128546/&page=/tn_index_id_12903.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evalar-eliksir-250ml-1170&page=/tn_index_id_12903.htm
","













120/80  Новогиреевская ул, 4к1, Москва  Аптека.ру  08:00-21:00 Пн-Пт, 09:00-21:00 Сб-Вс


","













Перово


","













253₽Мин. сумма заказа 300 ₽


","['a13a', 'общетонизир', 'препарат']",{'общетонизир': 5.746203190540153},{'общетонизир': 5.746203190540153}
Эваменол (Evamenol),Левоментол + Эвкалипта шарикового листьев масло (Levomenthol + Eucalyptus ball leaves oil)," — противовоспалительное, местнораздражающее","

















","

















",https://www.rlsnet.ru/tn_index_id_12531.htm,"










https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevamenol-maz-naz-15g-n1-0006449.html&page=/tn_index_id_12531.htm


https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/744499/&page=/tn_index_id_12531.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evamenol-maz-naz-15g-n1-1577&page=/tn_index_id_12531.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evamenol-126081/&page=/tn_index_id_12531.htm
","
















Диалог  Советский просп, 14, Ивантеевка, МО  Экспресс заказ  09:00-21:00 Пн-Вс
","

















","
















53₽Забрать сегодня
","['левоментол', 'эвкалипт', 'шариков', 'лист', 'масл', 'levomenthol', 'eucalyptus', 'ball', 'leaves', 'oil']","{'противовоспалительн': 0.05143309341065543, 'местнораздража': 1.5491969672906811}","{'противовоспалительн': 0.05143309341065543, 'местнораздража': 1.5491969672906811}"
Эветрекс (Ewetrex),Метотрексат* (Methotrexate*)," — противоопухолевое, противоревматическое","










































































































","










































































































",https://www.rlsnet.ru/tn_index_id_34965.htm,"










































































































","










































































































","










































































































","










































































































","['метотрексат', 'methotrexate']","{'противоопухолев': 0.1586573018135549, 'противоревматическ': 5.746203190540153}","{'противоопухолев': 0.1586573018135549, 'противоревматическ': 5.746203190540153}"
Эвиста® (Evista®),Ралоксифен* (Raloxifene*), — ингибирующее костную резорбцию,"
























","
























",https://www.rlsnet.ru/tn_index_id_9706.htm,"
























","
























","
























","
























","['ралоксиф', 'raloxifene']","{'ингибирова': 0.5428990059264057, 'костн': 5.746203190540153, 'резорбц': 5.746203190540153}","{'ингибирова': 0.5428990059264057, 'костн': 5.746203190540153, 'резорбц': 5.746203190540153}"
Эвкабал® (Eucabal®),Подорожника экстракт жидкий + Тимьяна экстракт жидкий (Extractum Plantaginis fluidum + Extractum Thymi fluidum)," — противовоспалительное, отхаркивающее","










































","










































",https://www.rlsnet.ru/tn_index_id_3654.htm,"




https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evkabal-sirop-100ml-4123&page=/tn_index_id_3654.htm
























https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evkabal-36486/&page=/tn_index_id_3654.htm









https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevkabal-sirop-100ml-0011510.html&page=/tn_index_id_3654.htm


","





























ПроАптека. Здравсити МЦК Деловой центр  Тестовская ул, 1, Москва  Экспресс заказ  09:00-20:00 Пн-Вс












","





























Деловой центр












","





























196₽Забрать сегодня












","['подорожник', 'экстракт', 'жидк', 'тимья', 'экстракт', 'жидк', 'extractum', 'plantaginis', 'fluidum', 'extractum', 'thymi', 'fluidum']","{'противовоспалительн': 0.05143309341065543, 'отхаркива': 0.5428990059264057}","{'противовоспалительн': 0.05143309341065543, 'отхаркива': 0.5428990059264057}"
Эвкабал® Бальзам С (Eucabal® Balsam S),Сосны обыкновенной хвои масло + Эвкалипта листьев масло (Pine sylvestris needles oil + Eucalyptus leaf oil)," — противовоспалительное, отхаркивающее","










































","










































",https://www.rlsnet.ru/tn_index_id_67656.htm,"










https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevkabal-balzam-s-jemuls-d-ingal-i-naruzhn-40ml-0013011.html&page=/tn_index_id_67656.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evkabal-balzam-s-277369/&page=/tn_index_id_67656.htm

























https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evkabal-balzam-s-emuls-dingal-i-naruzhn-40ml-6957&page=/tn_index_id_67656.htm

","














Фармакон  г.Быково, Леволинейная, д. 41  Экспресс заказ  08:00-21:00 Пн-Сб, 09:00-18:00 Вс



























","










































","














153₽Забрать завтра с 08:00



























","['сосн', 'обыкновен', 'хво', 'масл', 'эвкалипт', 'лист', 'масл', 'pine', 'sylvestris', 'needles', 'oil', 'eucalyptus', 'leaf', 'oil']","{'противовоспалительн': 0.05143309341065543, 'отхаркива': 0.5428990059264057}","{'противовоспалительн': 0.05143309341065543, 'отхаркива': 0.5428990059264057}"
Эвкабал® С (Eucabal® S),R05CA10 Отхаркивающие препараты в комбинации," — противовоспалительное, отхаркивающее","


","


",https://www.rlsnet.ru/tn_index_id_6744.htm,"


","


","


","


","['r05ca10', 'отхаркива', 'препарат', 'в', 'комбинац']","{'противовоспалительн': 0.05143309341065543, 'отхаркива': 0.5428990059264057}","{'противовоспалительн': 0.05143309341065543, 'отхаркива': 0.5428990059264057}"
Эвкабал®-капли от кашля (Eucabal®-cough drops),R05CA10 Отхаркивающие препараты в комбинации," — спазмолитическое, муколитическое, отхаркивающее, противокашлевое","













","













",https://www.rlsnet.ru/tn_index_id_6742.htm,"













","













","













","













","['r05ca10', 'отхаркива', 'препарат', 'в', 'комбинац']","{'спазмолитическ': 0.6590739535520163, 'муколитическ': 0.6590739535520163, 'отхаркива': 0.5428990059264057, 'противокашлев': 5.746203190540153}","{'спазмолитическ': 0.6590739535520163, 'муколитическ': 0.6590739535520163, 'отхаркива': 0.5428990059264057, 'противокашлев': 5.746203190540153}"
Эвказолин Аква (Eucazolin-aqua),Ксилометазолин* (Xylometazoline*), — антиконгестивное,"





Ксимелин




Ксилен® НЕО
Риностоп®


Ксилен®



Тизин®


Ксилометазолин







Галазолин®





Отривин
Ксилокт®-СОЛОфарм

Звездочка НОЗ






Доктор Тайсс Ринотайсс








Кватран® ксило






Тизин® Эксперт

МОРЕЛОР® КСИЛО

Носолин®-бальзам





Ринорус®


Тизин® Классик
Снуп®



Ксилометазолин-Беталек




Ксимелин Эко с ментолом


Ксилен актив®
Суприма-НОЗ


Ксимелин Эко




Длянос®

Риномарис®



Ринонорм-Тева









","Ксилен® НЕО
Суприма-НОЗ







Ксилометазолин-Беталек




Тизин®


Звездочка НОЗ


Ксимелин Эко с ментолом


Носолин®-бальзам


Ринорус®






Ксилометазолин







Ксилен®






Отривин



Тизин® Эксперт
Ксилен актив®


Тизин® Классик




Риностоп®






Галазолин®
Ксимелин Эко








Доктор Тайсс Ринотайсс




Кватран® ксило
Ксимелин

Ринонорм-Тева
Длянос®


Риномарис®










Ксилокт®-СОЛОфарм



Снуп®







МОРЕЛОР® КСИЛО",https://www.rlsnet.ru/tn_index_id_50606.htm,"


































https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevkazolin-akva-sprej-naz-1-mg-g-10g-0000239.html&page=/tn_index_id_50606.htm























https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evkazolin-akva-sprei-naz-1-mgg-10g-9680&page=/tn_index_id_50606.htm

































https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/1577011/&page=/tn_index_id_50606.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evkazolin-akva-247892/&page=/tn_index_id_50606.htm



https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/evkazolin_akva_01_10ml_sprey_nazalnyy_farmak.html&page=/tn_index_id_50606.htm






","





































































































36,6  Ленинский пр, 54, Москва  Экспресс заказ  09:59-21:59 Пн-Вс










","





































































































Университет










","





































































































85₽Забрать сегодня










","['ксилометазолин', 'xylometazoline']",{'антиконгестивн': 5.746203190540153},{'антиконгестивн': 5.746203190540153}
Эвкалимин® (Eucalimin),D08AX Другие антисептики и дезинфицирующие средства," — противовоспалительное, антибактериальное","






















","






















",https://www.rlsnet.ru/tn_index_id_5476.htm,"






















","






















","






















","






















","['d08ax', 'друг', 'антисептик', 'и', 'дезинфицир', 'средств']","{'противовоспалительн': 0.05143309341065543, 'антибактериальн': 0.10700622334134198}","{'противовоспалительн': 0.05143309341065543, 'антибактериальн': 0.10700622334134198}"
Эвкалипт-М,R07AX Препараты для лечения заболеваний органов дыхания другие," — противовоспалительное местное, антисептическое","


















































","


















































",https://www.rlsnet.ru/tn_index_id_28729.htm,"
https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/11817603/&page=/tn_index_id_28729.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevkalipt-m-zelenyj-doktor-pastilki-n12-0009648.html&page=/tn_index_id_28729.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1091&obj_nam=planetazdorovo.ru&url=https://apteka.planetazdorovo.ru/ges/11956201/&page=/tn_index_id_28729.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1004&obj_nam=asna.ru&url=https://www.asna.ru/cards/evkalipt-m_n20_tab_drassasyvaniya_naturprodukt.html&page=/tn_index_id_28729.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevkalipt-m-zelenyj-doktor-tab-d-rassas-n20-0006321.html&page=/tn_index_id_28729.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evkalipt-m-176635/&page=/tn_index_id_28729.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evkalipt-m-zelenyi-doktor-tab-drassas-n20-2700&page=/tn_index_id_28729.htm

https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evkalipt-m-zelenyi-doktor-pastilki-n12-2941&page=/tn_index_id_28729.htm








https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evkalipt-m-176553/&page=/tn_index_id_28729.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=1085&obj_nam=zdravcity.ru&url=https://zdravcity.ru/p_jevkalipt-m-zelenyj-doktor-pastilki-n24-0008934.html&page=/tn_index_id_28729.htm









https://rlsnet.ru/away.php?obj=apteka&id_obj=1119&obj_nam=vapteke.ru&url=https://msk.vapteke.ru/search/item/36948&page=/tn_index_id_28729.htm





https://rlsnet.ru/away.php?obj=apteka&id_obj=1079&obj_nam=aptekirls.ru&url=https://aptekirls.ru/evkalipt-m-zelenyi-doktor-pastilki-n24-2940&page=/tn_index_id_28729.htm
https://rlsnet.ru/away.php?obj=apteka&id_obj=199&obj_nam=uteka.ru&url=https://uteka.ru/product/evkalipt-m-176601/&page=/tn_index_id_28729.htm




","










Диалог  Загородное ш, 15к1, Москва, Россия  Экспресс заказ  09:00-21:00 Пн-Вс
















Диалог  ул Кирова, 19, Старая Купавна, МО  Экспресс заказ  9:00-21:00 Пн-Вс

















Диалог  Гурьевский пр-д, 27к1, Москва  Экспресс заказ  09:00-21:00 Пн-Вс




","










Крымская


































Зябликово




","










112₽Забрать сегодня
















157₽Забрать сегодня

















183₽Забрать сегодня




","['r07ax', 'препарат', 'для', 'лечен', 'заболеван', 'орга', 'дыхан', 'друг']","{'противовоспалительн': 0.05143309341065543, 'местн': 0.45834520610753965, 'антисептическ': 0.6590739535520163}","{'противовоспалительн': 0.05143309341065543, 'местн': 0.45834520610753965, 'антисептическ': 0.6590739535520163}"
Эвольтра (Evoltra),Клофарабин (Clofarabine), — противоопухолевое антиметаболическое,"

























































































































































","

























































































































































",https://www.rlsnet.ru/tn_index_id_87518.htm,"

























































































































































","

























































































































































","

























































































































































","

























































































































































","['клофарабин', 'clofarabine']","{'противоопухолев': 0.1586573018135549, 'антиметаболическ': 5.746203190540153}","{'противоопухолев': 0.1586573018135549, 'антиметаболическ': 5.746203190540153}"
Эгестренол® (Egoestrenolum),Ацетомепрегенол + Этинилэстрадиол (Acetomepregenol + Ethinylestradiol), — эстроген-прогестогенное,"














","














",https://www.rlsnet.ru/tn_index_id_5612.htm,"














","














","














","














","['ацетомепрегенол', 'этинилэстрадиол', 'acetomepregenol', 'ethinylestradiol']","{'эстрог': 0.8273530556212105, 'прогестоген': 5.746203190540153}","{'эстрог': 0.8273530556212105, 'прогестоген': 5.746203190540153}"
